Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
ZFHX3	RNF43	1	MUT
BCOR	CSF1R	1	MUT
ZFHX3	NOTCH1	1	MUT
GNAS	XPO1	1	MUT
KMT2D	CDK12	1	MUT
CCND1	FGF19	1	CNA
FGFR4	NSD1	1	CNA
CRKL	LZTR1	1	CNA
ANKRD11	EPHA7	1	MUT
PTPRD	CDKN2Ap14ARF	1	CNA
HIST1H3D	HIST1H3G	1	CNA
AXIN1	BCOR	1	MUT
AKT2	KMT2B	1	CNA
CDKN2Ap16INK4A	PTPRD	1	CNA
RICTOR	PGR	1	MUT
CDK4	ERBB3	1	CNA
SMAD4	CDKN2B	1	CNA
BRCA2	DNMT1	1	MUT
CDKN2Ap16INK4A	KDM6A	1	CNA
MCL1	DDR2	1	CNA
SDHA	TRIP13	1	CNA
KDM5C	JAK2	1	MUT
KRAS	TGFBR2	1	MUT
FGF3	FGF4	1	CNA
ZFHX3	POLD1	1	MUT
DDR2	NUF2	1	CNA
ZFHX3	NOTCH3	1	MUT
IL7R	SDHA	1	CNA
TERT	SDHA	1	CNA
CDKN2Ap16INK4A	MTAP	1	CNA
CDKN2Ap16INK4A	RYBP	1	CNA
RIT1	SDHC	1	CNA
BRAF	TERT	1	MUT
RICTOR	ERF	1	MUT
SMAD4	CDKN2Ap14ARF	1	CNA
CDK4	MDM2	1	CNA
CSF3R	STK40	1	CNA
RNF43	PIK3CD	1	MUT
SETD2	AXIN1	1	MUT
APC	DOT1L	1	MUT
HIST2H3C	HIST2H3D	1	CNA
CDKN2Ap16INK4A	XIAP	1	CNA
ZFHX3	JAK2	1	MUT
CDKN2Ap16INK4A	STAG2	1	CNA
CDKN2A	MTAP	1	CNA
AR	CDKN2Ap16INK4A	1	CNA
MTAP	TEK	1	CNA
LZTR1	MAPK1	1	CNA
TSC2	DAXX	1	MUT
NTRK3	PIK3CA	1	MUT
CDK4	GLI1	1	CNA
AXL	CEBPA	1	CNA
SMARCA4	CCND2	1	MUT
RB1	FOXO1	1	CNA
ZFHX3	NTRK3	1	MUT
HIST1H3E	HIST1H3D	1	CNA
BRIP1	PPM1D	1	CNA
HIST1H3D	HIST1H3F	1	CNA
FLT1	SMARCA4	1	MUT
EP300	ERBB2	1	MUT
ATM	PALB2	1	MUT
BRCA2	EP300	1	MUT
PIK3CA	GNAS	1	MUT
CTNNB1	ROS1	1	MUT
HIST1H3F	HIST1H3G	1	CNA
NOTCH3	PREX2	1	MUT
AXIN1	NOTCH3	1	MUT
AXIN1	MEN1	1	MUT
KDM5A	RAD52	1	CNA
BRCA2	ARID1B	1	MUT
RBM10	BRCA2	1	MUT
