Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
IKBKE	2	0	2	0	0.0	0.0	0.1576
FGFR3	2	1	1	0	0.5	0.0091	0.2132
IL10	2	0	2	0	0.0	0.0	0.1576
CDKN1A	2	2	0	0	0.0	0.0	0.2218
CRLF2	2	0	2	0	0.0	0.0	0.2114
GLI1	2	0	2	0	0.0	0.0	0.0115
STAG2	2	0	2	0	0.0	0.0	0.2156
IGF1R	1	1	0	0	0.0	0.0	0.238
TSC1	1	1	0	0	0.0	0.0	0.2091
PALB2	1	1	0	0	0.0	0.0	0.2091
AXIN2	1	1	0	0	0.0	0.0	0.2091
ESR1	1	1	0	0	0.0	0.0	0.2165
ARID2	1	1	0	0	0.0	0.0	0.0051
TET2	1	1	0	0	0.0	0.0	0.0051
ERCC2	1	0	1	0	0.0	0.0	0.2077
ARID5B	1	0	1	0	0.0	0.0	0.2077
ALK	1	1	0	0	0.0	0.0	0.1909
BRIP1	1	0	1	0	0.0	0.0	0.1711
SND1	1	0	0	1	0.0	0.0	0.2135
IRS1	1	1	0	0	0.0	0.0	0.1698
CARM1	1	0	1	0	0.0	0.0	0.202
MDM2	1	0	1	0	0.0	0.0	0.0092
CARD11	1	1	0	0	0.0	0.0	0.1975
STK40	1	0	1	0	0.0	0.0	0.0051
CSF3R	1	0	1	0	0.0	0.0	0.0051
CDK6	1	0	1	0	0.0	0.0	0.2036
VEGFA	1	0	1	0	0.0	0.0	0.0051
RET	1	1	0	0	0.0	0.0	0.208
CCND3	1	0	1	0	0.0	0.0	0.0051
WHSC1	1	0	1	0	0.0	0.0	0.1721
FGFR4	1	0	1	0	0.0	0.0	0.0051
ROS1	1	1	0	0	0.0	0.0	0.0051
CTNNB1	1	1	0	0	0.0	0.0	0.0051
EIF1AX	1	0	1	0	0.0	0.0	0.0051
NSD3	1	0	1	0	0.0	0.0	0.1836
ERBB4	1	1	0	0	0.0	0.0	0.1526
ERG	1	1	0	0	0.0	0.0	0.2114
SPEN	1	1	0	0	0.0	0.0	0.2199
ZRSR2	1	0	1	0	0.0	0.0	0.0051
NSD1	1	0	1	0	0.0	0.0	0.0051
JAK3	1	1	0	0	0.0	0.0	0.225
XPO1	1	1	0	0	0.0	0.0	0.2114
H3F3C	1	0	1	0	0.0	0.0	0.1829
RTEL1	1	0	1	0	0.0	0.0	0.2114
INPP4A	1	1	0	0	0.0	0.0	0.2347
MET	1	1	0	0	0.0	0.0	0.2055
LATS1	1	1	0	0	0.0	0.0	0.2126
NBN	1	0	1	0	0.0	0.0	0.1851
MGA	1	1	0	0	0.0	0.0	0.2126
STK19	1	0	1	0	0.0	0.0	0.0051
NOTCH4	1	0	1	0	0.0	0.0	0.0051
POLE	1	1	0	0	0.0	0.0	0.2162
TET1	1	1	0	0	0.0	0.0	0.2189
SRC	1	1	0	0	0.0	0.0	0.2247
U2AF1	1	1	0	0	0.0	0.0	0.1945
