Gene1	Gene2	Shared_Count	P_Value	Log2OR	FDR
EPHA7	NOTCH3	3	0.00021848821264777753	5.209757956581393	0.0085263726333077
CIC	KMT2A	3	0.00021848821264777753	5.209757956581393	0.0085263726333077
EPHA7	KMT2A	3	0.00021848821264777753	5.209757956581393	0.0085263726333077
DOT1L	RICTOR	3	0.0002186623174895119	5.1883035307571665	0.0085263726333077
FH	PTPRT	3	0.00023254006828548205	5.229734396677616	0.008592166302560787
BRCA2	ESR1	3	0.00023853892293527367	5.343530349372574	0.008592166302560787
KMT2A	PTPRS	4	0.00023983418779678628	4.11824896666999	0.008592166302560787
JAK2	WHSC1L1	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
PLCG2	RECQL4	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
GATA2	TRAF7	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
GATA2	RECQL4	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
HLA-A	NKX2-1	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
JAK2	TET1	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
JAK2	RARA	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
ERG	TET1	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
CSF3R	POLD1	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
JAK2	XPO1	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
NKX2-1	POLD1	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
HLA-A	PPP2R1A	2	0.00024238458538596852	7.317412613764869	0.008592166302560787
ANKRD11	EPHA3	3	0.000244516714449284	5.1329423595305625	0.008615531703697964
ARID1B	CIC	3	0.0002560790569756509	5.121381149484275	0.008968900624254983
SETD2	ZFHX3	4	0.0002685138508615168	4.063207603112027	0.009307815753922378
DAXX	PTEN	4	0.00027611392622761395	4.0584319527587365	0.009307815753922378
ATXN7	CUL3	2	0.0002768951857039654	7.246118491211711	0.009307815753922378
IKZF1	MSH2	2	0.0002768951857039654	7.246118491211711	0.009307815753922378
CUL3	PTCH1	2	0.0002768951857039654	7.246118491211711	0.009307815753922378
IGF1R	TP53BP1	2	0.0002768951857039654	7.246118491211711	0.009307815753922378
FH	FUBP1	2	0.0002768951857039654	7.246118491211711	0.009307815753922378
BCOR	RECQL4	3	0.0002866975666144165	5.2454760344494895	0.00947397778038261
BCOR	MDC1	3	0.0002866975666144165	5.2454760344494895	0.00947397778038261
BCOR	CSF1R	3	0.0002866975666144165	5.2454760344494895	0.00947397778038261
TET1	TGFBR1	3	0.0002931958017490043	5.361251224698394	0.009580459466088972
CCND2	SMARCA4	3	0.0002931958017490043	5.361251224698394	0.009580459466088972
CIC	ZFHX3	3	0.0002976359802973439	5.038004444069354	0.00961808203734345
EPHA7	ZFHX3	3	0.0002976359802973439	5.038004444069354	0.00961808203734345
ERF	NKX2-1	2	0.0003226414617180087	7.053473413269316	0.01009160379459162
CCND2	INSR	2	0.0003226414617180087	7.053473413269316	0.01009160379459162
ERF	PPP2R1A	2	0.0003226414617180087	7.053473413269316	0.01009160379459162
ERF	WHSC1L1	2	0.0003226414617180087	7.053473413269316	0.01009160379459162
ERF	TET1	2	0.0003226414617180087	7.053473413269316	0.01009160379459162
ERF	RARA	2	0.0003226414617180087	7.053473413269316	0.01009160379459162
POLD1	TRAF2	2	0.00033863264432716753	6.994579724215747	0.010209599673554653
BRD4	MDC1	2	0.00033863264432716753	6.994579724215747	0.010209599673554653
MLH1	RECQL4	2	0.00033863264432716753	6.994579724215747	0.010209599673554653
KIT	MLH1	2	0.00033863264432716753	6.994579724215747	0.010209599673554653
BRD4	NOTCH4	2	0.00033863264432716753	6.994579724215747	0.010209599673554653
FGFR1	MDC1	2	0.00033863264432716753	6.994579724215747	0.010209599673554653
MDC1	NOTCH4	2	0.00033863264432716753	6.994579724215747	0.010209599673554653
NOTCH1	RICTOR	3	0.0003436492175546995	4.923441771872366	0.010263554142430083
FLT3	FUBP1	2	0.0003456864705178195	7.052568050804154	0.010263554142430083
INPPL1	RECQL	2	0.0003456864705178195	7.052568050804154	0.010263554142430083
ATM	MSH2	3	0.0003624319451774338	5.481644211369632	0.010706386097690961
DOT1L	FAT1	3	0.00037306457532708804	4.886001350624304	0.01075669112749551
DOT1L	NOTCH3	3	0.00037306457532708804	4.886001350624304	0.01075669112749551
BRCA2	INSR	3	0.00037649260525624847	5.02068304767432	0.01075669112749551
KDM5C	ZFHX3	3	0.0003935078458246514	4.867164317292908	0.01075669112749551
ANKRD11	PIK3C2G	3	0.0003989042860698729	4.841607231265851	0.01075669112749551
AXIN1	CREBBP	3	0.0003989042860698729	4.841607231265851	0.01075669112749551
ALK	CREBBP	3	0.0003989042860698729	4.841607231265851	0.01075669112749551
POLD1	RNF43	4	0.00041246941993985356	4.399770742625534	0.01075669112749551
RECQL4	RNF43	4	0.00041246941993985356	4.399770742625534	0.01075669112749551
FGFR4	MSH6	2	0.0004141340137460951	6.830175629467706	0.01075669112749551
NKX2-1	TP53BP1	2	0.0004141340137460951	6.830175629467706	0.01075669112749551
CSF3R	TP53BP1	2	0.0004141340137460951	6.830175629467706	0.01075669112749551
NKX2-1	PIK3R1	2	0.0004141340137460951	6.830175629467706	0.01075669112749551
IKZF1	WHSC1L1	2	0.0004141340137460951	6.830175629467706	0.01075669112749551
CUL3	MAP3K1	2	0.0004141340137460951	6.830175629467706	0.01075669112749551
AGO2	FH	2	0.0004141340137460951	6.830175629467706	0.01075669112749551
APC	STK11	4	0.0004157773894153731	3.8760112827245465	0.01075669112749551
BCOR	CREBBP	4	0.0004160709373503101	3.8912340003955466	0.01075669112749551
CIC	MSH2	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
ASXL2	B2M	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
CDK12	HIST1H3B	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
CIC	HNF1A	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
CDK12	MSH2	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
EPHA7	MSH2	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
IGF1R	PGR	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
EPHA7	RECQL	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
CIC	RECQL	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
CBL	CDK12	2	0.0004219775570594996	6.8817371183801805	0.01075669112749551
ARID1A	WHSC1L1	4	0.0004363236219186157	4.637538161980904	0.01075669112749551
AR	ARID1B	3	0.00043684007312589875	4.797623384039831	0.01075669112749551
INSR	RECQL4	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
ERF	MDC1	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
FANCA	MLH1	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
MTOR	PDGFRA	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
IRS1	MDC1	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
BRD4	IRS1	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
ERF	FGFR1	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
ERF	ERG	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
IRS2	JAK2	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
ERF	POLD1	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
MDC1	TBX3	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
IRS1	NOTCH4	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
ERF	PDGFRB	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
ERF	JAK2	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
POLD1	TBX3	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
FANCA	RECQL4	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
INSR	MLH1	2	0.0004505709225912805	6.730639955916791	0.01075669112749551
GNAS	MYCN	3	0.00047098188322176334	5.11084576868829	0.011114408387094448
ALK	FLT1	3	0.00047125547614967054	4.747582701540235	0.011114408387094448
KMT2A	PIK3C2G	3	0.00047125547614967054	4.747582701540235	0.011114408387094448
POLD1	TGFBR1	3	0.000503989936170534	4.945289809255479	0.011581587612698035
POLD1	SMARCA4	3	0.000503989936170534	4.945289809255479	0.011581587612698035
KMT2C	SMARCA4	6	0.0005046804285201719	2.864127173694682	0.011581587612698035
KDM5C	UPF1	2	0.0005057399086280203	6.728827524722529	0.011581587612698035
KDM5C	MSH2	2	0.0005057399086280203	6.728827524722529	0.011581587612698035
DOT1L	ZFHX3	3	0.0005072549424904255	4.714245517666122	0.011581587612698035
APC	DOT1L	3	0.0005072549424904255	4.714245517666122	0.011581587612698035
CARD11	FGFR4	2	0.0005168053285885087	6.636624620543649	0.011581587612698035
LATS2	NKX2-1	2	0.0005168053285885087	6.636624620543649	0.011581587612698035
ABL1	LATS2	2	0.0005168053285885087	6.636624620543649	0.011581587612698035
AKT3	RARA	2	0.0005168053285885087	6.636624620543649	0.011581587612698035
ABL1	INPPL1	2	0.0005168053285885087	6.636624620543649	0.011581587612698035
LATS2	TET1	2	0.0005168053285885087	6.636624620543649	0.011581587612698035
BCOR	KMT2A	4	0.0005191427980288558	3.790772037862	0.011589565746835027
KMT2C	MDC1	3	0.0005417280783319835	4.906890595608519	0.012047785285793807
FAT1	KMT2D	5	0.000558423527320498	3.2609990962450306	0.012337595294105488
CIC	SETD2	3	0.0005709842190426719	4.67978604692275	0.012337595294105488
POLD1	TP53BP1	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
NOTCH4	TP53BP1	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
CUL3	PGBD5	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
BRD4	TP53BP1	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
PIK3R1	POLD1	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
HLA-A	TP53BP1	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
TP53BP1	TRAF2	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
FH	SMAD2	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
PGBD5	RAD50	2	0.0005781001035494296	6.507341603598682	0.012337595294105488
NTRK1	PIK3CA	3	0.0005828486459432893	4.7865963618908065	0.012337595294105488
INPPL1	PREX2	3	0.000584123895682709	4.693716704301449	0.012337595294105488
FAT1	NTRK3	3	0.0005846602100142779	4.621136113274641	0.012337595294105488
KMT2C	PTPRD	4	0.0005863996395557063	3.767022828022386	0.012337595294105488
DOT1L	UPF1	2	0.0005969450424335518	6.590416930813264	0.012381317564517179
DOT1L	MSH2	2	0.0005969450424335518	6.590416930813264	0.012381317564517179
DOT1L	PAK7	2	0.0005969450424335518	6.590416930813264	0.012381317564517179
HNF1A	SOX9	2	0.0005969450424335518	6.590416930813264	0.012381317564517179
FANCA	INSR	2	0.0005992619188595582	6.466699619101337	0.012385452167524933
EPHA7	XPO1	2	0.0006305986544233196	6.465793118888735	0.012762531244712789
ARHGAP35	PGR	2	0.0006305986544233196	6.465793118888735	0.012762531244712789
CIC	MAP3K1	2	0.0006305986544233196	6.465793118888735	0.012762531244712789
CCND2	CIC	2	0.0006305986544233196	6.465793118888735	0.012762531244712789
ASXL2	FGFR4	2	0.0006305986544233196	6.465793118888735	0.012762531244712789
FGFR4	KDR	2	0.0006305986544233196	6.465793118888735	0.012762531244712789
EPHB1	PIK3C2G	3	0.0006401643646345636	4.575825706149033	0.012867083741400557
AXIN1	ZFHX3	3	0.0006401643646345636	4.575825706149033	0.012867083741400557
BCOR	TP53BP1	3	0.0006683028521899726	4.658672186904165	0.01338665541938065
MSH2	PIK3C2G	2	0.0006955645295522142	6.463978407906207	0.01369427974914158
AXIN1	MSH2	2	0.0006955645295522142	6.463978407906207	0.01369427974914158
IGF1R	PIK3C2G	2	0.0006955645295522142	6.463978407906207	0.01369427974914158
EP300	UPF1	2	0.0006955645295522142	6.463978407906207	0.01369427974914158
ATM	DOT1L	4	0.0007004695598888181	3.7482367065012263	0.01369427974914158
PRKCI	RBM10	3	0.0007108980600191472	4.76232409100525	0.01369427974914158
CIC	PTPRS	3	0.0007140336545337707	4.5576551547254205	0.01369427974914158
KMT2A	RICTOR	3	0.0007141959078120515	4.50474260808755	0.01369427974914158
LATS2	POLD1	2	0.0007211212451249114	6.313790025443685	0.01369427974914158
CARD11	MDC1	2	0.0007211212451249114	6.313790025443685	0.01369427974914158
MDC1	PARK2	2	0.0007211212451249114	6.313790025443685	0.01369427974914158
FLT3	MDC1	2	0.0007211212451249114	6.313790025443685	0.01369427974914158
ERG	LATS2	2	0.0007211212451249114	6.313790025443685	0.01369427974914158
INPPL1	PDGFRB	2	0.0007211212451249114	6.313790025443685	0.01369427974914158
INPPL1	MDC1	2	0.0007211212451249114	6.313790025443685	0.01369427974914158
HLA-A	LATS2	2	0.0007211212451249114	6.313790025443685	0.01369427974914158
BCOR	RNF43	8	0.0007488399221545175	2.324121566949059	0.013939023135264045
KDM5C	XPO1	2	0.000755457400218619	6.312882955284356	0.013939023135264045
FGFR4	TERT	2	0.000755457400218619	6.312882955284356	0.013939023135264045
KDM5C	RARA	2	0.000755457400218619	6.312882955284356	0.013939023135264045
SPEN	XPO1	2	0.000755457400218619	6.312882955284356	0.013939023135264045
EGFR	EPHA3	2	0.000755457400218619	6.312882955284356	0.013939023135264045
ABL1	KDM5C	2	0.000755457400218619	6.312882955284356	0.013939023135264045
KDM5C	NKX2-1	2	0.000755457400218619	6.312882955284356	0.013939023135264045
CDKN1A	SPEN	2	0.000755457400218619	6.312882955284356	0.013939023135264045
CASP8	RAD50	2	0.0007685564413405867	6.243400697552287	0.013960517470189726
IRS1	TP53BP1	2	0.0007685564413405867	6.243400697552287	0.013960517470189726
ERF	IKZF1	2	0.0007685564413405867	6.243400697552287	0.013960517470189726
ERF	TP53BP1	2	0.0007685564413405867	6.243400697552287	0.013960517470189726
ERF	PIK3R1	2	0.0007685564413405867	6.243400697552287	0.013960517470189726
TBX3	TGFBR1	3	0.0007920884360859883	4.622437206139819	0.014207220909267203
ERF	TGFBR1	3	0.0007920884360859883	4.622437206139819	0.014207220909267203
INSR	SMARCA4	3	0.0007920884360859883	4.622437206139819	0.014207220909267203
EPHA7	PREX2	3	0.0007934229516094199	4.5001524195481615	0.014207220909267203
KMT2B	MSH2	2	0.0008015699948808646	6.3475929782807095	0.014207220909267203
MSH2	NTRK3	2	0.0008015699948808646	6.3475929782807095	0.014207220909267203
NOTCH1	UPF1	2	0.0008015699948808646	6.3475929782807095	0.014207220909267203
KMT2B	PARP1	2	0.0008015699948808646	6.3475929782807095	0.014207220909267203
PBRM1	PIK3C2G	3	0.0008436540056275958	4.421988289455103	0.014863049032878939
AXIN1	PBRM1	3	0.0008436540056275958	4.421988289455103	0.014863049032878939
ANKRD11	CREBBP	3	0.0008694006082919254	4.390484264919806	0.014868221880085054
CIC	RECQL4	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
PDGFRB	PGR	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
CIC	ERG	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
CIC	FGFR1	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
EPHA7	JAK2	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
FGFR1	TSC1	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
EPHA7	MDC1	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
CIC	TOP1	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
CIC	PGBD5	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
CDK12	FGFR1	2	0.0008795357788526977	6.142957953842043	0.014868221880085054
