Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	Reactome_Pathways_2024	DAP12 Signaling	1/29	0.0481771158578003	0.0915365201298207	B2M
0	Reactome_Pathways_2024	Downstream Signal Transduction	1/29	0.0481771158578003	0.0915365201298207	PDGFRA
0	Reactome_Pathways_2024	The Role of Nef in HIV-1 Replication and Disease Pathogenesis	1/29	0.0481771158578003	0.0915365201298207	B2M
0	Reactome_Pathways_2024	VEGFR2 Mediated Vascular Permeability	1/29	0.0481771158578003	0.0915365201298207	MTOR
0	GO_Molecular_Function_2021	DNA-binding transcription factor binding (GO:0140297)	2/208	0.048577968110814	0.1100631375963631	RB1;TP53
0	Reactome_Pathways_2024	Signaling by NOTCH	2/209	0.0489960885310338	0.0923795137236709	NOTCH2;TP53
0	GO_Biological_Process_2021	artery morphogenesis (GO:0048844)	1/30	0.0497975604232894	0.0952801097560362	NF1
0	GO_Biological_Process_2021	response to alcohol (GO:0097305)	1/30	0.0497975604232894	0.0952801097560362	GRIN2A
0	GO_Biological_Process_2021	histone H3-K4 methylation (GO:0051568)	1/30	0.0497975604232894	0.0952801097560362	KMT2C
0	GO_Biological_Process_2021	RNA-dependent DNA biosynthetic process (GO:0006278)	1/30	0.0497975604232894	0.0952801097560362	PPP6C
0	GO_Biological_Process_2021	positive regulation of small GTPase mediated signal transduction (GO:0051057)	1/30	0.0497975604232894	0.0952801097560362	NOTCH2
0	GO_Biological_Process_2021	ncRNA catabolic process (GO:0034661)	1/30	0.0497975604232894	0.0952801097560362	DIS3
0	GO_Molecular_Function_2021	ligand-gated channel activity (GO:0022834)	1/30	0.0497975604232894	0.1100631375963631	GRIN2A
0	Reactome_Pathways_2024	Activation of BH3-only Proteins	1/30	0.0497975604232894	0.0923795137236709	TP53
0	Reactome_Pathways_2024	Regulation of TP53 Activity Through Acetylation	1/30	0.0497975604232894	0.0923795137236709	TP53
0	Reactome_Pathways_2024	SUMOylation of Intracellular Receptors	1/30	0.0497975604232894	0.0923795137236709	PGR
0	Reactome_Pathways_2024	MET Activates PTK2 Signaling	1/30	0.0497975604232894	0.0923795137236709	HGF
0	Reactome_Pathways_2024	Phospholipid Metabolism	2/211	0.0498363166140856	0.0923795137236709	INPPL1;PIK3C3
1	GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	9/764	1.289539007489674e-07	5.908431253462267e-05	CEBPA;PBRM1;PAK1;IRS1;AXIN2;INHBA;NF2;PPM1D;FGFR4
1	GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	7/379	2.176217772914279e-07	5.908431253462267e-05	CEBPA;PBRM1;PAK1;AXIN2;INHBA;NF2;PPM1D
1	GO_Cellular_Component_2021	nucleus (GO:0005634)	15/4484	2.8371080390410196e-05	0.0009362456528835365	CEBPA;PARP1;IRS1;KMT2B;AXIN2;BRCA1;PPM1D;LATS2;MYCN;XPO1;ERF;FAT1;NF2;CIC;POLE
1	Reactome_Pathways_2024	Signaling by TGFB Family Members	4/161	3.790920053917436e-05	0.0109936681563605	MYCN;XPO1;PARP1;INHBA
1	KEGG_2021_Human	Hippo signaling pathway	4/163	3.978296210922787e-05	0.003142854006629	PAK1;LATS2;AXIN2;NF2
1	GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	6/566	4.3584719330184246e-05	0.0061151545980695	CEBPA;PBRM1;AXIN2;INHBA;NF2;PPM1D
1	GO_Biological_Process_2021	cell cycle G1/S phase transition (GO:0044843)	3/63	5.750476445862841e-05	0.0061151545980695	LATS2;INHBA;POLE
1	GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase III (GO:0045945)	2/10	6.173695322587491e-05	0.0061151545980695	RPTOR;CEBPA
1	GO_Biological_Process_2021	negative regulation of receptor signaling pathway via STAT (GO:1904893)	2/11	7.540109655030562e-05	0.0061151545980695	PTPRT;NF2
1	GO_Biological_Process_2021	carbohydrate homeostasis (GO:0033500)	3/70	7.8832563879349e-05	0.0061151545980695	CEBPA;IRS1;FGFR4
1	Reactome_Pathways_2024	Signal Transduction	11/2613	8.985400667281705e-05	0.0130288309675584	RPTOR;PAK1;LATS2;MYCN;XPO1;PARP1;IRS1;AXIN2;INHBA;NF2;FGFR4
1	GO_Biological_Process_2021	negative regulation of cell cycle (GO:0045786)	3/80	0.00011739350481991088	0.0079027575259895	CEBPA;LATS2;INHBA
1	GO_Biological_Process_2021	G1/S transition of mitotic cell cycle (GO:0000082)	3/85	0.00014057243440917296	0.0079027575259895	LATS2;INHBA;POLE
1	GO_Biological_Process_2021	glucose homeostasis (GO:0042593)	3/86	0.00014553881263332528	0.0079027575259895	CEBPA;IRS1;FGFR4
1	GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	15/5192	0.0001752602311639705	0.0021801994462299	CEBPA;PARP1;IRS1;KMT2B;AXIN2;BRCA1;PPM1D;LATS2;MYCN;XPO1;ERF;FAT1;NF2;CIC;POLE
1	GO_Cellular_Component_2021	nuclear lumen (GO:0031981)	6/745	0.00019819994965726795	0.0021801994462299	PBRM1;MYCN;XPO1;PARP1;NF2;PPM1D
1	GO_Biological_Process_2021	negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	2/20	0.00025876610708752327	0.0121843282158156	CEBPA;LATS2
1	GO_Biological_Process_2021	regulation of transcription by RNA polymerase III (GO:0006359)	2/21	0.0002857953111961309	0.0121843282158156	RPTOR;CEBPA
1	Reactome_Pathways_2024	RHO GTPases Activate PAKs	2/21	0.0002857953111961309	0.0179131779152771	PAK1;NF2
1	GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	4/277	0.00030749278017807745	0.0121843282158156	PARP1;AXIN2;BRCA1;POLE
1	GO_Biological_Process_2021	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	2/22	0.000314144742212557	0.0121843282158156	CEBPA;LATS2
1	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	7/1183	0.000353382079929542	0.0127924312934494	RPTOR;CEBPA;MYCN;PARP1;KMT2B;BRCA1;INHBA
1	Reactome_Pathways_2024	Gene Expression (Transcription)	8/1615	0.0004032236801623071	0.0179131779152771	RPTOR;CEBPA;PBRM1;XPO1;PARP1;KMT2B;BRCA1;PPM1D
1	Reactome_Pathways_2024	Resolution of AP Sites via the Multiple-Nucleotide Patch Replacement Pathway	2/25	0.0004070850063970531	0.0179131779152771	PARP1;POLE
1	Reactome_Pathways_2024	Homology Directed Repair	3/122	0.00040814051532455606	0.0179131779152771	PARP1;BRCA1;POLE
1	Reactome_Pathways_2024	Generic Transcription Pathway	7/1230	0.0004479249519971096	0.0179131779152771	RPTOR;PBRM1;XPO1;PARP1;KMT2B;BRCA1;PPM1D
1	Reactome_Pathways_2024	MAPK Family Signaling Cascades	4/314	0.0004941566321455771	0.0179131779152771	PAK1;XPO1;IRS1;FGFR4
1	GO_Biological_Process_2021	cellular response to interleukin-6 (GO:0071354)	2/28	0.0005118017005884158	0.0173692702137193	PTPRT;CEBPA
1	Reactome_Pathways_2024	Signaling by ALK	2/30	0.0005881163648560729	0.0189504162009179	MYCN;IRS1
1	KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	3/143	0.0006488655908442329	0.0153015476752305	AXIN2;INHBA;FGFR4
1	GO_Biological_Process_2021	regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	2/32	0.0006696067158070427	0.0213880262754837	PAK1;BRCA1
1	KEGG_2021_Human	Base excision repair	2/33	0.0007122855268112139	0.0153015476752305	PARP1;POLE
1	GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	5/625	0.0007609446286614422	0.0229059110295873	RPTOR;PAK1;IRS1;AXIN2;FGFR4
1	Reactome_Pathways_2024	DNA Double-Strand Break Repair	3/152	0.0007747291910733697	0.021607369905116	PARP1;BRCA1;POLE
1	KEGG_2021_Human	PI3K-Akt signaling pathway	4/354	0.0007747619076066085	0.0153015476752305	RPTOR;IRS1;BRCA1;FGFR4
1	GO_Biological_Process_2021	base-excision repair, gap-filling (GO:0006287)	2/35	0.0008014959660444926	0.0229059110295873	PARP1;POLE
1	Reactome_Pathways_2024	RNA Polymerase II Transcription	7/1360	0.0008195898929526796	0.021607369905116	RPTOR;PBRM1;XPO1;PARP1;KMT2B;BRCA1;PPM1D
1	GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	4/371	0.000922713759100546	0.0250516785595798	RPTOR;PAK1;AXIN2;INHBA
1	Reactome_Pathways_2024	Resolution of Abasic Sites (AP Sites)	2/38	0.0009449004432908564	0.0228350940461956	PARP1;POLE
1	GO_Biological_Process_2021	odontogenesis (GO:0042476)	2/39	0.0009952474592520714	0.0257342557320892	AXIN2;INHBA
1	GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	4/384	0.001048589650058	0.0258810990900681	MYCN;BRCA1;INHBA;FGFR4
1	Reactome_Pathways_2024	Dual Incision in GG-NER	2/41	0.0010997425892605	0.02453271929889	PARP1;POLE
1	GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	4/404	0.0012652442298657	0.0286420104767465	PTPRT;PAK1;IRS1;FGFR4
1	GO_Biological_Process_2021	positive regulation of stress fiber assembly (GO:0051496)	2/44	0.0012659452144418	0.0286420104767465	PAK1;NF2
1	Reactome_Pathways_2024	PI3K Cascade	2/44	0.0012659452144418	0.0262231508705808	IRS1;FGFR4
1	GO_Biological_Process_2021	regulation of DNA repair (GO:0006282)	2/45	0.0013238573520127	0.0287541816857162	AXIN2;BRCA1
1	GO_Biological_Process_2021	positive regulation of DNA repair (GO:0045739)	2/48	0.0015050878441941	0.0302689888665703	PARP1;BRCA1
1	GO_Biological_Process_2021	base-excision repair (GO:0006284)	2/48	0.0015050878441941	0.0302689888665703	PARP1;POLE
1	Reactome_Pathways_2024	IRS-mediated Signalling	2/48	0.0015050878441941	0.0275647644833096	IRS1;FGFR4
1	GO_Cellular_Component_2021	nucleolus (GO:0005730)	5/733	0.0015519852469212	0.0128038782871005	MYCN;XPO1;PARP1;NF2;PPM1D
