Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
1	GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	41/2244	4.679955477450589e-12	4.784566246946542e-10	RET;KDM5C;NOTCH1;KMT2A;MAX;CTR9;KMT2B;PRDM14;IKZF1;BRCA1;BRCA2;MED12;CDH1;CHEK2;MYC;RAD21;SUFU;NSD1;ERBB2;TP53BP1;SPEN;CREBBP;ZFHX3;INSR;MGA;ARID5B;MITF;PAX5;ESR1;SMARCA2;ARID1B;PHOX2B;TGFBR1;TBX3;RUNX1;ETV6;NCOR1;BCL6;PRKAR1A;ERG;TP53
1	GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	23/684	6.277014047747183e-12	6.060805786102558e-10	SPEN;CREBBP;ZFHX3;NOTCH1;MAX;PTCH1;CTR9;ARID5B;MITF;DICER1;ESR1;SMARCA2;CDC73;TBX3;RUNX1;ETV6;NCOR1;BCL6;MYC;SUFU;NSD1;DNMT3B;TP53
1	KEGG_2021_Human	Hepatitis B	13/162	9.511132341510816e-12	2.9960066875759076e-10	CREBBP;MAP3K1;PIK3R2;BRAF;TGFBR1;TGFBR2;NFKBIA;MYC;JAK2;SOS1;TP53;IKBKE;JAK1
1	KEGG_2021_Human	Proteoglycans in cancer	14/205	1.2975386931552169e-11	3.5033544715190863e-10	PTCH1;PIK3R2;BRAF;PTPN11;ESR1;SMO;ERBB3;MYC;ERBB2;PLCG2;DROSHA;SOS1;TP53;FGFR1
1	GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	15/253	1.7447762176637116e-11	1.5960110875260687e-09	ALK;RET;NTRK2;FLT1;FLT3;INSR;NTRK3;MST1R;AXIN2;CCND2;ERBB3;ERBB2;TEK;FGFR4;FGFR1
1	KEGG_2021_Human	Chronic myeloid leukemia	10/76	1.841916957577545e-11	4.351528812276951e-10	NFKBIA;MYC;PIK3R2;BRAF;PTPN11;SOS1;TP53;TGFBR1;RUNX1;TGFBR2
1	GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	26/948	2.060955599266121e-11	1.7909704157622595e-09	KDM5C;NOTCH1;MAX;CTR9;IKZF1;BRCA1;CDC73;MYC;SUFU;NSD1;DNMT3B;SPEN;CREBBP;ZFHX3;PTCH1;ARID5B;MITF;DICER1;ESR1;SMARCA2;TBX3;RUNX1;ETV6;NCOR1;BCL6;TP53
1	GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	19/474	2.7441544370270874e-11	2.2711144816919422e-09	NTRK2;NOTCH1;FLT1;IRS1;FLT3;INSR;NTRK3;TET1;MST1R;TGFBR1;TBX3;TSHR;TGFBR2;CCND2;ERBB3;MYC;ERBB2;FGFR4;FGFR1
1	KEGG_2021_Human	MicroRNAs in cancer	16/310	2.837604088219599e-11	5.958968585261158e-10	NOTCH2;CREBBP;NOTCH1;IRS1;PIK3R2;DICER1;BRCA1;RPTOR;CCND2;ERBB3;MYC;ERBB2;PLCG2;DNMT3B;SOS1;TP53
1	GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	9/56	3.020249220700232e-11	2.385996884353183e-09	FLT1;FLT3;INSR;ERBB2;BTK;TEK;JAK2;FGFR4;FGFR1
