Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
PAX5	17	0.41301428752815283	0.15845467282177794	1.0
PBRM1	29	0.779243706238677	-0.21607309775112074	1.0
PDCD1	18	0.22749231023666208	0.3959128441999242	1.0
PDCD1LG2	4	0.4509516121669638	0.39196335288610706	1.0
PDGFRA	56	0.13103514388655194	0.30381005528650956	1.0
PDGFRB	34	0.36879972637456804	0.1361238804507619	1.0
PDPK1	1	0.9628420980152348	-1.8345429335033818	1.0
PGBD5	2	0.9286448005321835	-1.1971353086016907	1.0
PGR	34	0.45533853809495267	0.06502922406475851	1.0
PHF6	2	0.7437091326185151	-0.3467518092098628	1.0
PHOX2B	18	0.07127488271709133	0.7620881608815943	1.0
PIK3C2G	45	0.5944771772000987	-0.04167181896243921	1.0
PIK3C3	16	0.8077231763566851	-0.3141373438807486	1.0
PIK3CA	66	0.7397279349384174	-0.1263991433848455	1.0
PIK3CB	9	0.9824179111703389	-0.993950955327195	1.0
PIK3CD	10	0.4813989208312912	0.1288148313921601	1.0
PIK3CG	66	0.20054556322842393	0.21055199373659642	1.0
PIK3R1	12	0.8072248878863839	-0.34996563925122287	1.0
PIK3R2	12	0.7440532344940408	-0.2492257126747182	1.0
PIK3R3	1	0.9928612553906557	-2.489008198577177	1.0
PIM1	5	0.5366416612888854	0.12831298739994956	1.0
PLCG2	24	0.6356169730505743	-0.08478042019701951	1.0
PLK2	11	0.5835270984232517	-0.024407636688863286	1.0
PMAIP1	1	0.872139638503992	-1.025399176695965	1.0
PMS1	14	0.7639103506607803	-0.2645199337229564	1.0
PMS2	10	0.5857883679078034	-0.024387509869982428	1.0
PNRC1	3	0.9253287971999885	-1.027830400010851	1.0
POLD1	22	0.8241562743871318	-0.29858369107422705	1.0
POLE	60	0.006478666482144816	0.6608067821486215	0.17458301257148137
POT1	15	0.19946237443173706	0.49549593563461114	1.0
PPARG	12	0.24481351114575864	0.47727185124311555	1.0
PPM1D	13	0.11106196104236707	0.7757011211996491	1.0
PPP2R1A	16	0.2844277483748407	0.33584904800742776	1.0
PPP4R2	1	0.9152964481740107	-1.3479233034203069	1.0
PPP6C	5	0.1503697474970409	1.3012206135161195	1.0
PRDM1	15	0.1346092166701451	0.6410855914346771	1.0
PRDM14	25	0.08455321562469258	0.5850590052892974	1.0
PREX2	50	0.4999331567570669	0.020584332156092327	1.0
PRKAR1A	1	0.9990948598168178	-3.032567862456431	1.0
PRKCI	9	0.362758603965038	0.34059817229458256	1.0
PRKD1	25	0.5713710774413848	-0.024692941219406312	1.0
PTCH1	23	0.7514042170948984	-0.20517270905208812	1.0
PTEN	16	0.9999999524152224	-1.7834498803649166	1.0
PTP4A1	3	0.632185448604419	-0.024247546246677347	1.0
PTPN11	3	0.9984523968678788	-2.035022911996186	1.0
PTPRD	141	0.00041430332795306784	0.5784584860400482	0.02468605855374452
PTPRS	25	0.8501758842532868	-0.31827156693570796	1.0
PTPRT	99	0.4416758958300344	0.038355202877113144	1.0
