Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
INS-IGF2	0	1.0	-10.0	1.0	1.0
INSR	13	0.8535461985386213	-0.4217308576953819	1.0	1.0
INSRR	0	1.0	-10.0	1.0	1.0
IRF4	10	0.9144568631901188	-0.6207928615533148	1.0	1.0
IRS1	26	0.667819992913915	-0.11294762990994632	1.0	1.0
IRS2	25	0.6978305714883912	-0.14364280231666546	1.0	1.0
JAK1	10	0.9746841453756766	-0.8874597368870307	1.0	1.0
JAK2	32	0.16310371429768666	0.3641137109137724	1.0	1.0
JAK3	30	0.17418743538745976	0.36157905616105074	1.0	1.0
JUN	5	0.9310310835669766	-0.8824758085109058	1.0	1.0
KBTBD4	1	0.7098738503057366	-0.029576579939879832	1.0	1.0
KDM5A	25	0.3102854929768218	0.22623824731279207	1.0	1.0
KDM5C	39	0.4703931302418002	0.04788709246970867	1.0	1.0
KDM6A	14	0.9719901106839525	-0.7570181008339995	1.0	1.0
KDR	55	0.26885678436568217	0.17418247898797729	1.0	1.0
KEAP1	254	5.17208315378095e-11	0.8883683887398748	6.620266436839616e-09	6.620266436839616e-09
KIT	28	0.5461698641136687	-0.003639896355736838	1.0	1.0
KLF4	14	0.12532433940941654	0.6966271124804873	1.0	1.0
KLF5	5	0.3814788903935953	0.4866970056980495	1.0	1.0
KMT2A	37	0.3838582106883812	0.11719349898526926	1.0	1.0
KMT2B	45	0.2822488401306706	0.1831909711983168	1.0	1.0
KMT2C	55	0.9871779394757686	-0.4933639550271769	1.0	1.0
KMT2D	82	0.987473273631326	-0.41814855558888686	1.0	1.0
KNSTRN	4	0.6201809738415351	-0.029649523612959538	1.0	1.0
LATS1	13	0.9928667199244926	-0.9878475457440927	1.0	1.0
LATS2	22	0.578090682023876	-0.030094855148325134	1.0	1.0
LMO1	5	0.7324168786272538	-0.2939080704927877	1.0	1.0
LYN	8	0.6974753517207137	-0.20087509191802164	1.0	1.0
LZTR1	2	0.9876398468856371	-1.8429495328364274	1.0	1.0
MAD2L2	0	1.0	-10.0	1.0	1.0
MALT1	8	0.6484836920997796	-0.11781143284683782	1.0	1.0
MAP2K1	7	0.9764764707737744	-1.0381561424259766	1.0	1.0
MAP2K2	9	0.5920885178107635	-0.029771899278428212	1.0	1.0
MAP2K4	8	0.9440832756635891	-0.7912623975970693	1.0	1.0
MAP3K1	19	0.8409824347060642	-0.34215156124950263	1.0	1.0
MAP3K13	14	0.7357783129517179	-0.2249589681004463	1.0	1.0
MAPK1	5	0.22230451311118754	0.9733210902323468	1.0	1.0
MAPK3	5	0.4621401113332481	0.293452926276885	1.0	1.0
MAPKAP1	8	0.23561783756617796	0.6519267983987813	1.0	1.0
MAX	32	1.0738285577879606e-05	1.8276705062662773	0.0007854288879820512	0.0007854288879820512
MCL1	7	0.7527520098939972	-0.3116337405900823	1.0	1.0
MDC1	36	0.32644189948761954	0.1677232462231914	1.0	1.0
MDM2	7	0.7527520098939972	-0.3116337405900823	1.0	1.0
MDM4	5	0.888026224953146	-0.7113480599869361	1.0	1.0
MED12	59	0.6828895309311829	-0.09406750950665732	1.0	1.0
MEF2B	4	0.7508694274480395	-0.3527763680839475	1.0	1.0
MEN1	12	0.9295397256509988	-0.6220641275132536	1.0	1.0
MET	32	0.999999811609452	-1.3129069803809994	1.0	1.0
MGA	85	0.003688118690215425	0.5936037428396718	0.1180197980868936	0.1180197980868936
MITF	9	0.20232327759227292	0.6849267187697676	1.0	1.0
MLH1	7	0.8847952134710763	-0.6188958237883951	1.0	1.0
MLL	5	0.8237376963021183	-0.5175012368347872	1.0	1.0
MLL2	9	0.9893392506091864	-1.0807766504541547	1.0	1.0
MLL3	13	0.3503025522014554	0.28126680353562594	1.0	1.0
MLL4	2	0.6579782938522515	-0.02960085458437254	1.0	1.0
MLLT1	2	0.26531020999128746	1.9721924272386782	1.0	1.0
MPL	9	0.5382524579526781	0.05329175979275579	1.0	1.0
