Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
PDGFRB	24	19	5	0	0.3299	0.0004	0.4409	0
FGFR4	13	13	0	0	0.0	0.0001	0.4314	0
ERCC5	34	18	16	0	0.4983	0.0005	0.4361	0
ELF3	11	8	3	0	0.3967	0.0001	0.3965	0
ATXN7	6	6	0	0	0.0	0.0	0.4055	0
ARID1A	5	4	1	0	0.32	0.0002	0.3745	0
ARHGAP35	2	2	0	0	0.0	0.0	0.3524	0
TBX3	23	23	0	0	0.0	0.0056	0.4303	0
STAG2	28	27	1	0	0.0689	0.0012	0.4526	0
RBM10	11	9	2	0	0.2975	0.0006	0.3935	0
PRDM1	42	31	11	0	0.3866	0.0011	0.4555	0
DOT1L	10	8	2	0	0.32	0.0	0.4083	0
BCOR	27	20	7	0	0.3841	0.0061	0.4404	0
ARAF	34	29	5	0	0.2509	0.0015	0.4509	0
USP8	15	11	4	0	0.3911	0.0001	0.4149	0
RNF43	48	46	2	0	0.0799	0.0095	0.4819	0
NEGR1	3	2	1	0	0.4444	0.0	0.3639	0
KIT	32	32	0	0	0.0	0.0008	0.4668	0
FH	13	13	0	0	0.0	0.0001	0.4278	0
PAX5	46	38	8	0	0.2873	0.0007	0.4736	0
ASXL2	29	29	0	0	0.0	0.0007	0.4614	0
HLA-B	1	1	0	0	0.0	0.0	0.3163	0
SPRED1	5	5	0	0	0.0	0.0	0.3987	0
RPS6KB2	2	2	0	0	0.0	0.0	0.3486	0
GLI1	3	3	0	0	0.0	0.0	0.3867	0
GATA2	1	1	0	0	0.0	0.0	0.2986	0
GATA1	1	1	0	0	0.0	0.0	0.3146	0
IGF1	3	3	0	0	0.0	0.0	0.3726	0
FGFR2	3	3	0	0	0.0	0.0001	0.3403	0
NSD3	1	0	1	0	0.0	0.0	0.3635	0
TMPRSS2	1	1	0	0	0.0	0.0	0.2748	0
FANCC	1	1	0	0	0.0	0.0	0.3413	0
FAM175A	1	1	0	0	0.0	0.0	0.3146	0
PIK3R3	7	7	0	0	0.0	0.0	0.4158	0
NTRK1	7	7	0	0	0.0	0.0003	0.405	0
XIAP	3	2	1	0	0.4444	0.0	0.3483	0
PARK2	2	2	0	0	0.0	0.0	0.3368	0
NFKBIA	5	5	0	0	0.0	0.0001	0.3883	0
EIF1AX	1	0	1	0	0.0	0.0	0.2957	0
TRAF2	2	0	2	0	0.0	0.0	0.3087	0
EGFL7	3	1	2	0	0.4444	0.0002	0.3282	0
HGF	2	1	1	0	0.5	0.0	0.3381	0
ICOSLG	2	1	1	0	0.5	0.0	0.2986	0
SOX2	2	2	0	0	0.0	0.0	0.371	0
IDH1	2	2	0	0	0.0	0.0	0.3521	0
SDHA	3	1	2	0	0.4444	0.0001	0.306	0
RXRA	2	1	1	0	0.5	0.0	0.2986	0
RSPO3	1	0	0	1	0.0	0.0	0.0027	0
PTPRK	1	0	0	1	0.0	0.0	0.0027	0
SMYD3	1	1	0	0	0.0	0.0	0.3146	0
REL	2	2	0	0	0.0	0.0	0.3476	0
PGBD5	2	2	0	0	0.0	0.0	0.3407	0
NTHL1	2	0	1	1	0.5	0.0	0.2821	0
MYD88	1	1	0	0	0.0	0.0	0.3001	0
U2AF1	2	2	0	0	0.0	0.0	0.3521	0
MDM4	1	1	0	0	0.0	0.0	0.3617	0
MAPKAP1	2	2	0	0	0.0	0.0	0.3606	0
MAP3K13	1	1	0	0	0.0	0.0	0.3439	0
KLF4	1	1	0	0	0.0	0.0	0.3146	0
MAPK1	1	1	0	0	0.0	0.0	0.3469	0
KDM6A	4	3	1	0	0.375	0.0	0.3668	0
IRF4	2	1	1	0	0.5	0.0	0.3463	0
TCF3	4	3	1	0	0.375	0.0	0.3805	0
IDH2	1	0	1	0	0.0	0.0	0.3349	0
FGFR3	1	0	1	0	0.0	0.0	0.2966	0
MAP2K2	6	3	3	0	0.5	0.0001	0.3753	0
SERPINB3	6	5	1	0	0.2778	0.0	0.3935	0
CD79B	1	1	0	0	0.0	0.0	0.3534	0
VEGFA	1	0	1	0	0.0	0.0	0.0027	0
CCND3	1	0	1	0	0.0	0.0	0.0027	0
RAD52	23	13	10	0	0.4915	0.0002	0.4309	0
MPL	7	5	2	0	0.4082	0.0	0.3829	0
MAPK3	15	8	7	0	0.4978	0.0001	0.4212	0
ETV6	6	2	4	0	0.4444	0.0	0.3917	0
FGF4	6	1	5	0	0.2778	0.0002	0.3684	0
FGF3	5	1	4	0	0.32	0.0	0.3397	0
FGF19	5	1	4	0	0.32	0.0002	0.3773	0
CBL	2	2	0	0	0.0	0.0	0.3606	0
RAC1	3	0	3	0	0.0	0.0	0.3699	0
DNMT1	12	10	2	0	0.2778	0.0061	0.4149	0
CIC	12	12	0	0	0.0	0.0001	0.4319	0
BTK	7	7	0	0	0.0	0.0	0.4158	0
BRIP1	1	1	0	0	0.0	0.0	0.3635	0
DNAJB1	7	3	4	0	0.4898	0.0002	0.371	0
CDK12	11	8	3	0	0.3967	0.0005	0.3545	0
TNFAIP3	20	15	5	0	0.375	0.0001	0.435	0
SF3B1	2	2	0	0	0.0	0.0	0.3741	0
CD274	2	2	0	0	0.0	0.0	0.35	0
ERCC4	20	14	6	0	0.42	0.0001	0.4193	0
KEAP1	2	1	1	0	0.5	0.0	0.2925	0
EIF4A2	9	8	1	0	0.1975	0.0008	0.412	0
DCUN1D1	2	2	0	0	0.0	0.0	0.3765	0
DAXX	1	1	0	0	0.0	0.0	0.3577	0
RECQL	6	4	2	0	0.4444	0.0	0.4005	0
CXCR4	2	1	1	0	0.5	0.0	0.3349	0
CUL3	6	6	0	0	0.0	0.0001	0.393	0
PRKAR1A	5	4	1	0	0.32	0.0	0.3854	0
POLD1	4	4	0	0	0.0	0.0	0.393	0
NUF2	12	12	0	0	0.0	0.0001	0.4288	0
MUTYH	1	1	0	0	0.0	0.0	0.348	0
CRKL	2	2	0	0	0.0	0.0	0.3613	0
TRAF7	6	3	3	0	0.5	0.0	0.3631	0
ERCC2	6	6	0	0	0.0	0.0002	0.3842	0
MTAP	4	0	4	0	0.0	0.0	0.2851	0
CDKN2B	5	1	4	0	0.32	0.0035	0.3703	0
CDKN2Ap16INK4A	4	0	4	0	0.0	0.0	0.2851	0
CDKN2Ap14ARF	4	0	4	0	0.0	0.0	0.2851	0
CDKN2A	9	4	5	0	0.4938	0.0127	0.3987	0
TERT	5	3	2	0	0.48	0.001	0.3639	0
MLH1	11	11	0	0	0.0	0.0005	0.4252	0
EPAS1	9	9	0	0	0.0	0.0001	0.4262	0
XPO1	74	74	0	0	0.0	0.0005	0.5152	0
AGO2	84	52	32	0	0.4717	0.0135	0.4905	0
AKT1	3	3	0	0	0.0	0.0	0.3703	0
TET1	137	129	7	1	0.1107	0.0077	0.5647	0
TCEB1	9	0	9	0	0.0	0.0	0.3969	0
SRC	22	4	18	0	0.2975	0.0003	0.4154	0
SPEN	73	73	0	0	0.0	0.0064	0.5022	0
SETDB1	8	8	0	0	0.0	0.0	0.4154	0
RUNX1	58	58	0	0	0.0	0.0007	0.5015	0
RTEL1	19	3	16	0	0.2659	0.0004	0.4111	0
RPTOR	72	69	3	0	0.0799	0.002	0.5086	0
RFWD2	53	53	0	0	0.0	0.0008	0.4932	0
RECQL4	43	21	22	0	0.4997	0.0033	0.4526	0
RAD54L	61	60	1	0	0.0322	0.0021	0.5001	0
RAD21	59	37	21	1	0.4797	0.0058	0.473	0
PTPRT	69	42	27	0	0.4764	0.0113	0.4608	0
PRDM14	33	21	12	0	0.4628	0.0024	0.4584	0
PMS2	76	64	12	0	0.2659	0.0048	0.5079	0
PIK3CG	134	133	1	0	0.0148	0.0259	0.5692	0
PAK7	55	35	20	0	0.4628	0.0019	0.4768	0
NKX3-1	107	56	51	0	0.4989	0.0128	0.5015	0
NCOA3	121	92	29	0	0.3645	0.0192	0.5265	0
TP53	29	19	10	0	0.4518	0.0015	0.4388	0
CARD11	70	61	9	0	0.2241	0.0088	0.4865	0
MYC	117	76	41	0	0.4553	0.0309	0.5057	0
CTNNB1	110	109	1	0	0.018	0.026	0.536	0
MAP2K4	32	26	6	0	0.3047	0.0004	0.4487	0
KMT2C	127	127	0	0	0.0	0.0178	0.5594	0
KMT2B	67	59	8	0	0.2103	0.0054	0.4858	0
INHBA	31	29	2	0	0.1207	0.0061	0.4644	0
H3F3C	5	3	2	0	0.48	0.0001	0.3566	0
GNAQ	10	9	1	0	0.18	0.0	0.4178	0
ETV1	103	90	13	0	0.2206	0.0073	0.5376	0
ERBB3	58	57	1	0	0.0339	0.0082	0.4825	0
EP300	107	107	0	0	0.0	0.015	0.5491	0
DIS3	114	93	21	0	0.3006	0.0056	0.5273	0
CEBPA	9	4	5	0	0.4938	0.0001	0.3846	0
CDKN1B	18	13	5	0	0.4012	0.0004	0.4247	0
CCNE1	5	2	3	0	0.48	0.0	0.358	0
BLM	92	89	3	0	0.0631	0.008	0.532	0
AXL	31	30	1	0	0.0624	0.0037	0.4638	0
ATR	89	89	0	0	0.0	0.0047	0.5328	0
ATM	81	81	0	0	0.0	0.0194	0.5015	0
AKT2	44	32	12	0	0.3967	0.0034	0.4532	0
MTOR	57	56	0	1	0.0345	0.0038	0.4742	0
NBN	61	35	25	1	0.5026	0.0021	0.4717	0
MITF	70	70	0	0	0.0	0.0055	0.5108	0
NOTCH4	77	77	0	0	0.0	0.0039	0.5093	0
BRCA1	130	128	2	0	0.0303	0.0112	0.5729	0
BCL10	2	2	0	0	0.0	0.0	0.3549	0
AURKA	70	42	28	0	0.48	0.0045	0.4825	0
ARID5B	70	59	11	0	0.2649	0.0014	0.4987	0
ALK	79	79	0	0	0.0	0.0064	0.5159	0
TEK	142	137	4	1	0.0683	0.0159	0.5918	0
SOX17	54	36	18	0	0.4444	0.0051	0.4644	0
SMAD3	9	8	1	0	0.1975	0.0006	0.3871	0
SMAD2	65	47	17	1	0.4085	0.0142	0.4596	0
PTEN	83	71	12	0	0.2474	0.0175	0.4891	0
PREX2	141	127	14	0	0.1789	0.0263	0.563	0
POLE	148	148	0	0	0.0	0.0194	0.6058	0
JAK2	60	60	0	0	0.0	0.0026	0.498	0
FLT3	83	61	22	0	0.3896	0.0076	0.4819	0
FAT1	141	123	18	0	0.2227	0.0123	0.5551	0
ESR1	59	58	1	0	0.0333	0.0024	0.4774	0
EPHB1	10	10	0	0	0.0	0.0002	0.4064	0
EPHA3	39	39	0	0	0.0	0.0021	0.4579	0
B2M	73	65	8	0	0.1952	0.0018	0.5071	0
ASXL1	53	28	25	0	0.4984	0.0049	0.4626	0
BCL2L1	20	0	20	0	0.0	0.0008	0.4134	0
BRCA2	140	118	22	0	0.2649	0.0136	0.545	0
MAP3K1	66	66	0	0	0.0	0.0094	0.5015	0
BRD4	10	7	3	0	0.42	0.0004	0.4087	0
MAP2K1	7	6	1	0	0.2449	0.0001	0.4032	0
LYN	18	8	10	0	0.4938	0.0	0.4064	0
LATS2	63	45	18	0	0.4082	0.0059	0.4705	0
IRS1	24	24	0	0	0.0	0.0009	0.4492	0
INPPL1	65	65	0	0	0.0	0.0014	0.5043	0
IKBKE	64	64	0	0	0.0	0.0019	0.5057	0
FOXA1	3	3	0	0	0.0	0.0	0.3365	0
FLT1	134	111	23	0	0.2844	0.0191	0.5384	0
FGFR1	193	136	57	0	0.4162	0.0348	0.5738	0
FANCA	7	7	0	0	0.0	0.0003	0.3956	0
ERF	3	3	0	0	0.0	0.0	0.3825	0
EPHA7	37	37	0	0	0.0	0.0027	0.4774	0
ELOC	7	0	7	0	0.0	0.0	0.3952	0
DUSP4	20	0	20	0	0.0	0.0061	0.4232	0
DROSHA	31	30	1	0	0.0624	0.0014	0.4638	0
DNMT3B	160	124	36	0	0.3487	0.0367	0.5603	0
CTR9	51	51	0	0	0.0	0.0007	0.4905	0
CSF3R	23	18	5	0	0.3403	0.0011	0.4372	0
CDK8	58	37	21	0	0.462	0.0043	0.4555	0
NOTCH3	88	81	7	0	0.1464	0.0116	0.5108	0
PDGFRA	80	80	0	0	0.0	0.0018	0.5212	0
WHSC1	111	97	14	0	0.2204	0.0039	0.5425	0
EZH2	84	84	0	0	0.0	0.0013	0.5297	0
ATRX	101	101	0	0	0.0	0.0089	0.5417	0
ARID1B	62	62	0	0	0.0	0.0057	0.4825	0
AR	87	86	0	1	0.0227	0.0059	0.5152	0
APC	20	19	1	0	0.095	0.0027	0.4453	0
AMER1	30	30	0	0	0.0	0.004	0.442	0
ALOX12B	100	90	10	0	0.18	0.0132	0.5392	0
TOP1	116	86	30	0	0.3835	0.0132	0.5144	0
TGFBR2	32	30	2	0	0.1172	0.0005	0.4459	0
TET2	95	94	1	0	0.0208	0.0063	0.5392	0
SUZ12	12	9	3	0	0.375	0.0001	0.4193	0
SETD2	102	102	0	0	0.0	0.0125	0.54	0
SESN1	37	27	10	0	0.3944	0.0003	0.4608	0
ROS1	118	104	14	0	0.2091	0.0098	0.5433	0
RET	44	41	3	0	0.1271	0.0015	0.4662	0
PTPRS	77	74	3	0	0.0749	0.007	0.4994	0
PHOX2B	13	10	3	0	0.355	0.0001	0.4197	0
PALB2	28	27	1	0	0.0689	0.0017	0.4674	0
NTRK3	26	26	0	0	0.0	0.0019	0.4515	0
NOTCH2	33	27	6	0	0.2975	0.0003	0.4544	0
AURKB	2	0	2	0	0.0	0.0	0.3497	0
FLCN	40	30	10	0	0.375	0.0017	0.4614	0
KDM5C	59	59	0	0	0.0	0.0011	0.4911	0
FLT4	33	33	0	0	0.0	0.0056	0.4567	0
SESN3	81	81	0	0	0.0	0.0018	0.5273	0
RICTOR	83	81	2	0	0.047	0.0015	0.5289	0
RAF1	85	85	0	0	0.0	0.0013	0.5273	0
RAD50	91	91	0	0	0.0	0.0089	0.5376	0
PPP2R1A	91	91	0	0	0.0	0.0061	0.5376	0
PIK3R1	84	76	8	0	0.1723	0.0091	0.4966	0
PIK3CB	81	80	1	0	0.0244	0.0012	0.525	0
PIK3CA	47	47	0	0	0.0	0.0336	0.4608	0
PBRM1	85	85	0	0	0.0	0.0047	0.5219	0
PARP1	93	84	9	0	0.1748	0.0014	0.5265	0
MET	117	102	15	0	0.2235	0.0054	0.5417	0
KDR	95	95	0	0	0.0	0.0155	0.5336	0
KDM5A	124	98	26	0	0.3314	0.022	0.532	0
INPP4B	83	82	1	0	0.0238	0.0042	0.5197	0
INPP4A	75	75	0	0	0.0	0.0006	0.5174	0
IL10	3	3	0	0	0.0	0.0	0.3871	0
GRIN2A	90	85	5	0	0.1049	0.0138	0.5115	0
GPS2	4	1	3	0	0.375	0.0001	0.3838	0
FYN	98	85	13	0	0.2301	0.0019	0.5328	0
MST1R	2	2	0	0	0.0	0.0	0.358	0
IGF1R	102	96	6	0	0.1107	0.0058	0.5433	0
PGR	99	98	1	0	0.02	0.0036	0.5376	0
MGA	64	64	0	0	0.0	0.0038	0.4819	0
KMT2A	57	57	0	0	0.0	0.0006	0.48	0
JAK1	138	134	4	0	0.0563	0.0106	0.5889	0
INSR	139	129	10	0	0.1335	0.0094	0.5738	0
ETAA1	46	46	0	0	0.0	0.0016	0.4891	0
ERG	54	54	0	0	0.0	0.0007	0.4925	0
CDC73	136	135	0	1	0.0146	0.0076	0.587	0
ARID2	137	135	2	0	0.0288	0.0089	0.5831	0
ALB	47	47	0	0	0.0	0.0002	0.48	0
PTCH1	66	66	0	0	0.0	0.0018	0.4987	0
KMT2D	129	129	0	0	0.0	0.0201	0.5586	0
AKT3	6	6	0	0	0.0	0.0	0.4046	0
YES1	19	13	6	0	0.4321	0.0001	0.4252	0
TP53BP1	140	131	9	0	0.1203	0.0092	0.5701	0
TGFBR1	51	51	0	0	0.0	0.0022	0.4793	0
SMO	49	49	0	0	0.0	0.0006	0.4806	0
RB1	119	100	19	0	0.2683	0.0079	0.5328	0
PRKD1	91	89	1	1	0.0432	0.0111	0.5204	0
PLK2	42	29	13	0	0.4274	0.0021	0.473	0
PIK3C3	106	91	15	0	0.243	0.0026	0.5336	0
MED12	64	64	0	0	0.0	0.0051	0.4952	0
MRE11A	56	56	0	0	0.0	0.0022	0.4959	0
ERBB4	89	89	0	0	0.0	0.0104	0.5137	0
MSH3	31	26	5	0	0.2706	0.0005	0.4515	0
DICER1	23	22	1	0	0.0832	0.0003	0.4437	0
DDR2	95	95	0	0	0.0	0.0029	0.536	0
CYLD	73	68	5	0	0.1276	0.0037	0.5001	0
CHEK2	50	50	0	0	0.0	0.0007	0.4925	0
CASP8	83	83	0	0	0.0	0.0013	0.5281	0
AXIN2	9	9	0	0	0.0	0.0001	0.4111	0
ANKRD11	62	62	0	0	0.0	0.0026	0.4878	0
ZFHX3	139	126	13	0	0.1696	0.0105	0.5638	0
UPF1	62	57	5	0	0.1483	0.0018	0.4987	0
SMARCA2	50	50	0	0	0.0	0.003	0.4845	0
SLX4	85	75	10	0	0.2076	0.0091	0.5159	0
RASA1	132	128	4	0	0.0588	0.0083	0.5683	0
PLCG2	114	114	0	0	0.0	0.0048	0.5475	0
PIK3C2G	148	140	8	0	0.1023	0.0365	0.5831	0
NTRK2	129	129	0	0	0.0	0.0069	0.5766	0
NSD1	135	135	0	0	0.0	0.0088	0.5879	0
NF1	119	116	2	1	0.0494	0.011	0.5376	0
NCOR1	133	130	3	0	0.0441	0.0173	0.5656	0
MSH6	72	72	0	0	0.0	0.0042	0.5174	0
SYK	1	1	0	0	0.0	0.0	0.2986	0
