Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
PDPK1	2	2	0	0	0.0	0.0	0.3143
KIF5B	2	0	0	2	0.0	0.0	0.3192
KLF5	2	1	1	0	0.5	0.0	0.3159
XRCC2	2	1	1	0	0.5	0.0	0.307
SERPINB3	2	1	1	0	0.5	0.0	0.2536
SRSF2	2	2	0	0	0.0	0.0	0.328
ERRFI1	2	2	0	0	0.0	0.0	0.2956
ELOC	2	0	2	0	0.0	0.0	0.2882
CD276	2	2	0	0	0.0	0.0	0.323
ID3	2	0	2	0	0.0	0.0001	0.2955
JAK1	2	1	1	0	0.5	0.0002	0.3013
MAX	2	0	2	0	0.0	0.0	0.2827
HIST1H3E	2	2	0	0	0.0	0.0	0.3115
EGFL7	2	1	1	0	0.5	0.0	0.2817
SMARCD1	2	1	1	0	0.5	0.0	0.3004
HIST1H3H	1	1	0	0	0.0	0.0	0.3159
HIST1H3F	1	1	0	0	0.0	0.0	0.3103
HLA-C	1	1	0	0	0.0	0.0	0.3137
SETD8	1	1	0	0	0.0	0.0	0.3194
MSI1	1	1	0	0	0.0	0.0	0.3194
HIST1H3A	1	1	0	0	0.0	0.0	0.3245
BCL10	1	1	0	0	0.0	0.0	0.2674
LMO1	1	1	0	0	0.0	0.0	0.3072
MYCL	1	1	0	0	0.0	0.0	0.3241
HIST1H3I	1	1	0	0	0.0	0.0	0.2825
BBC3	1	1	0	0	0.0	0.0	0.2876
CCDC6	1	0	0	1	0.0	0.0	0.2899
CHEK1	1	1	0	0	0.0	0.0	0.2989
CD74	1	0	0	1	0.0	0.0	0.2822
HRAS	1	1	0	0	0.0	0.0	0.3081
ICOSLG	1	1	0	0	0.0	0.0	0.2921
TNFRSF14	1	1	0	0	0.0	0.0	0.2982
SMARCE1	1	0	1	0	0.0	0.0	0.2423
PPP6C	1	1	0	0	0.0	0.0	0.3277
EML4	1	0	0	1	0.0	0.0	0.2801
TACC3	1	0	0	1	0.0	0.0	0.293
GAB2	1	0	1	0	0.0	0.0	0.2546
STAT3	1	1	0	0	0.0	0.0	0.2843
PRKN	1	0	1	0	0.0	0.0	0.3466
STK40	1	1	0	0	0.0	0.0	0.2971
ZNRF3	1	1	0	0	0.0	0.0	0.2899
SDC4	1	0	0	1	0.0	0.0	0.2822
SLC34A2	1	0	0	1	0.0	0.0	0.2822
SH2D1A	1	0	1	0	0.0	0.0	0.2424
TMEM127	1	1	0	0	0.0	0.0	0.3215
