Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
1	KEGG	KEGG: Signal transduction	23	5.862111629889144e-13	31	46.27	67	PI3K-Akt signaling pathway | Ras signaling pathway | Rap1 signaling pathway | Phospholipase D signaling pathway | MAPK signaling pathway | FoxO signaling pathway | ErbB signaling pathway | mTOR signaling pathway | Apelin signaling pathway | VEGF signaling pathway | HIF-1 signaling pathway | Hippo signaling pathway | TNF signaling pathway | Sphingolipid signaling pathway | AMPK signaling pathway | JAK-STAT signaling pathway | cGMP-PKG signaling pathway | NF-kappa B signaling pathway | cAMP signaling pathway | Wnt signaling pathway | Phosphatidylinositol signaling system | Calcium signaling pathway | TGF-beta signaling pathway	ATM;BIRC3;BRCA1;CARD11;CDH1;CTNNB1;FLCN;FLT1;FYN;GSK3B;INSR;IRS2;JAK1;JUN;KDR;KIT;MAPK3;MET;MTOR;NF1;NTRK1;PARP1;PIK3C3;PIK3CB;PIK3CG;PIK3R1;RAF1;RASA1;SHOC2;SMAD4;WWTR1
1	KEGG	KEGG: Cancer: specific types	17	6.682190395560057e-14	24	35.82	67	Breast cancer | Hepatocellular carcinoma | Colorectal cancer | Gastric cancer | Endometrial cancer | Prostate cancer | Renal cell carcinoma | Melanoma | Pancreatic cancer | Acute myeloid leukemia | Non-small cell lung cancer | Glioma | Chronic myeloid leukemia | Thyroid cancer | Bladder cancer | Small cell lung cancer | Basal cell carcinoma	ALK;BIRC3;BRCA1;CDH1;CTNNB1;ESR1;FLCN;GSK3B;JAK1;JUN;KIT;MAPK3;MET;MITF;MTOR;NFE2L2;NKX3-1;NTRK1;PBRM1;PGR;PIK3CB;PIK3R1;RAF1;SMAD4
1	KEGG	KEGG: Immune system	14	2.058448022251274e-09	15	22.39	67	T cell receptor signaling pathway | B cell receptor signaling pathway | Fc epsilon RI signaling pathway | C-type lectin receptor signaling pathway | Th17 cell differentiation | Chemokine signaling pathway | Platelet activation | Natural killer cell mediated cytotoxicity | NOD-like receptor signaling pathway | Toll-like receptor signaling pathway | Neutrophil extracellular trap formation | Th1 and Th2 cell differentiation | IL-17 signaling pathway | Leukocyte transendothelial migration	BIRC3;CARD11;CTNNB1;FYN;GSK3B;JAK1;JUN;MAPK3;MTOR;PIK3CB;PIK3CG;PIK3R1;RAF1;SMAD4;TP53BP1
1	KEGG	KEGG: Endocrine system	14	6.876237149170837e-09	15	22.39	67	Thyroid hormone signaling pathway | Insulin signaling pathway | Prolactin signaling pathway | Growth hormone synthesis, secretion and action | Estrogen signaling pathway | Melanogenesis | Progesterone-mediated oocyte maturation | Regulation of lipolysis in adipocytes | GnRH secretion | Relaxin signaling pathway | Oxytocin signaling pathway | GnRH signaling pathway | Adipocytokine signaling pathway | Parathyroid hormone synthesis, secretion and action	CTNNB1;ESR1;GSK3B;INSR;IRS2;JUN;KIT;MAPK3;MITF;MTOR;PGR;PIK3CB;PIK3CG;PIK3R1;RAF1
1	KEGG	KEGG: Infectious disease: viral	12	4.0735348769149055e-11	16	23.88	67	Kaposi sarcoma-associated herpesvirus infection | Human T-cell leukemia virus 1 infection | Human papillomavirus infection | Human immunodeficiency virus 1 infection | Human cytomegalovirus infection | Hepatitis C | Hepatitis B | Influenza A | Measles | Coronavirus disease | Epstein-Barr virus infection | Herpes simplex virus 1 infection	ATM;ATR;BIRC3;CTNNB1;GSK3B;JAK1;JUN;MAPK3;MTOR;PIK3C3;PIK3CB;PIK3CG;PIK3R1;RAF1;SMAD4;XPO1
1	Reactome	Reactome: Diseases of signal transduction by growth factor receptors and second messengers	1	3.137995160491661e-16	19	28.36	67	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	ALK;AMER1;CTNNB1;ESR1;FYN;GSK3B;IRS2;JUN;KDR;KIT;MAPK3;MET;MTOR;NF1;PIK3CB;PIK3R1;RAF1;SHOC2;SMAD4
1	Reactome	Reactome: Signal transduction	1	2.2886249071095525e-15	36	53.73	67	Signal Transduction	ALK;AMER1;BIRC3;CDC73;CDH1;CTNNB1;ESR1;FLT1;FYN;GSK3B;IKZF1;INSR;IRS2;JAK1;JUN;KDR;KIT;MAPK3;MET;MTOR;NF1;NTRK1;PARP1;PGR;PIK3C3;PIK3CB;PIK3CG;PIK3R1;PRDM1;PREX2;RAF1;RASA1;SHOC2;SMAD4;WWTR1;XPO1
1	Reactome	Reactome: Signaling by receptor tyrosine kinases	1	7.28158237265866e-15	19	28.36	67	Signaling by Receptor Tyrosine Kinases	ALK;CTNNB1;ESR1;FLT1;FYN;INSR;IRS2;KDR;KIT;MAPK3;MET;MTOR;NTRK1;PGR;PIK3C3;PIK3CB;PIK3R1;PRDM1;RASA1
1	Reactome	Reactome: Mapk family signaling cascades	1	1.917492626421776e-12	14	20.9	67	MAPK Family Signaling Cascades	FYN;IRS2;JAK1;JUN;KIT;MAPK3;MET;NF1;PIK3CB;PIK3R1;RAF1;RASA1;SHOC2;XPO1
1	Reactome	Reactome: Gene expression (transcription)	1	3.309197890702271e-12	26	38.81	67	Gene Expression (Transcription)	ATM;ATR;BRCA1;CDC73;CTNNB1;DNMT3A;ESR1;GATA1;GSK3B;JUN;KIT;KMT2C;MAPK3;MDM4;MET;MTOR;PARP1;PBRM1;PGR;PPM1D;PRDM1;SESN3;SMAD4;TET2;WWTR1;XPO1
