Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
2	GO	GO: Establishment of protein localization to chromosome	1	0.0079751460001487	1	3.12	32	establishment of protein localization to telomere (GO:0070200)	BRCA2
2	GO	GO: Genitalia development	1	0.0079751460001487	1	3.12	32	female genitalia development (GO:0030540)	TBX3
2	GO	GO: Positive regulation of immune effector process	1	0.0079751460001487	1	3.12	32	positive regulation of leukocyte mediated immunity (GO:0002705)	KIT
2	GO	GO: B cell differentiation	1	0.0079751460001487	1	3.12	32	immature B cell differentiation (GO:0002327)	KIT
2	GO	GO: Gland morphogenesis	1	0.0079751460001487	1	3.12	32	salivary gland morphogenesis (GO:0007435)	FGFR2
2	GO	GO: Glial cell differentiation	1	0.0079751460001487	1	3.12	32	Schwann cell differentiation (GO:0014037)	ERBB3
2	GO	GO: Cardiac pacemaker cell differentiation	1	0.0079751460001487	1	3.12	32	sinoatrial node cell differentiation (GO:0060921)	TBX3
2	GO	GO: Positive regulation of protein serine/threonine kinase activity	1	0.0079751460001487	1	3.12	32	positive regulation of protein kinase C activity (GO:1900020)	EGFR
2	GO	GO: Positive regulation of muscle cell differentiation	1	0.0079751460001487	1	3.12	32	positive regulation of smooth muscle cell differentiation (GO:0051152)	KIT
2	GO	GO: Dna endonuclease activity, producing 5'-phosphomonoesters	1	0.0079751460001487	1	3.12	32	deoxyribonuclease I activity (GO:0004530)	DICER1
2	GO	GO: Transmembrane receptor protein tyrosine kinase activity	1	0.0079751460001487	1	3.12	32	fibroblast growth factor-activated receptor activity (GO:0005007)	FGFR2
2	GO	GO: Negative regulation of kinase activity	1	0.0090986722581347	2	6.25	32	negative regulation of protein kinase activity (GO:0006469)	SPRED1;TSC2
2	GO	GO: Positive regulation of catabolic process	1	0.0090986722581347	2	6.25	32	positive regulation of autophagy (GO:0010508)	STK11;TSC2
2	GO	GO: Embryonic axis specification	1	0.0095627722512654	1	3.12	32	anterior/posterior axis specification, embryo (GO:0008595)	TBX3
2	GO	GO: Regulation of glial cell proliferation	1	0.0095627722512654	1	3.12	32	negative regulation of glial cell proliferation (GO:0060253)	DICER1
