Cluster_ID	Meta_Term	Best_P-value	Aggregated_Terms	All_Genes	N_Terms_Merged
0	positive regulation of gene expression (GO:0010628)	1.4009514489782396e-07	positive regulation of gene expression (GO:0010628) | positive regulation of macromolecule metabolic process (GO:0010604) | positive regulation of nucleic acid-templated transcription (GO:1903508)	MYCN;GATA3;CTCF;RUNX1;FGF4;EP300;INHBA;TGFBR1;FGFR4;PLCG2;SOX9;NTRK2;SMO	3
0	regulation of cell cycle (GO:0051726)	1.9823308238201202e-07	regulation of cell cycle (GO:0051726) | protein deubiquitination (GO:0016579) | protein modification by small protein removal (GO:0070646)	NBN;GATA3;EP300;INHBA;BARD1;TGFBR1;PHOX2B;SOX9;TSC1	3
0	DNA binding (GO:0003677)	5.234191143430707e-07	DNA binding (GO:0003677) | double-stranded DNA binding (GO:0003690) | intracellular membrane-bounded organelle (GO:0043231) | nucleus (GO:0005634)	MYCN;NBN;BTK;CTCF;MSH3;SOX9;DROSHA;SMO;PDGFRA;GATA3;MLH1;EP300;TSC1;FOXA1;XRCC2;ERCC2;ETV1;SMYD3;RUNX1;CDK12;FAT1;BCL6;RAD50;BRIP1;KDM5C;PRDM1;BARD1;SPEN;TGFBR1;PHOX2B;PLCG2	4
0	Non-small cell lung cancer	2.2599101448067986e-06	Non-small cell lung cancer | regulation of dendritic cell cytokine production (GO:0002730) | regulation of interleukin-10 production (GO:0032653) | regulation of interleukin-12 production (GO:0032655)	MET;JAK3;ALK;PLCG2;ARAF	4
0	Proteoglycans in cancer	2.330295321687995e-06	Proteoglycans in cancer | Hepatocellular carcinoma | ErbB signaling pathway	CBL;MET;IGF2;TGFBR1;PLCG2;ARAF;DROSHA;ARID2;SMO	3
0	positive regulation of transcription, DNA-templated (GO:0045893)	6.43205470388268e-06	positive regulation of transcription, DNA-templated (GO:0045893) | positive regulation of transcription by RNA polymerase II (GO:0045944) | sequence-specific double-stranded DNA binding (GO:1990837) | DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228) | regulation of transcription by RNA polymerase II (GO:0006357) | regulation of transcription, DNA-templated (GO:0006355) | sequence-specific DNA binding (GO:0043565) | RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) | cis-regulatory region sequence-specific DNA binding (GO:0000987) | transcription cis-regulatory region binding (GO:0000976) | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	MYCN;CTCF;INHBA;SOX9;GATA3;EP300;FOXA1;IGF2;ETV1;RUNX1;CDK12;BCL6;BRIP1;KDM5C;RPTOR;MET;PRDM1;TGFBR1;SPEN;PHOX2B	11
0	regulation of cell differentiation (GO:0045595)	6.550036805065061e-06	regulation of cell differentiation (GO:0045595) | Th17 cell differentiation | chordate embryonic development (GO:0043009)	IGF2;GATA3;RUNX1;JAK3;BCL6;TGFBR1;ALK	3
0	Calcium signaling pathway	6.585034538151485e-06	Calcium signaling pathway | Rap1 signaling pathway	MET;GRIN2A;FGF4;TEK;FGFR4;PLCG2;NTRK2;PDGFRA	2
0	regulation of receptor signaling pathway via STAT (GO:1904892)	6.828723137018277e-06	regulation of receptor signaling pathway via STAT (GO:1904892) | Primary immunodeficiency | phosphatase binding (GO:0019902) | protein phosphatase binding (GO:0019903) | JAK-STAT signaling pathway | cellular response to interleukin-7 (GO:0098761) | interleukin-7-mediated signaling pathway (GO:0038111)	MET;BTK;EP300;JAK3;PTPRT;IL7R;ROS1;PDGFRA	7
0	positive regulation of DNA-binding transcription factor activity (GO:0051091)	7.737922862441628e-06	positive regulation of DNA-binding transcription factor activity (GO:0051091)	BTK;EP300;EPHA5;ALK;PLCG2;FOXA1;SMO	1
0	hemopoiesis (GO:0030097)	8.438105069415573e-06	hemopoiesis (GO:0030097) | regulation of response to cytokine stimulus (GO:0060759) | hematopoietic progenitor cell differentiation (GO:0002244)	FLT3;RUNX1;INHBA;SH2B3;TEK	3
0	positive regulation of signal transduction (GO:0009967)	9.053911159647037e-06	positive regulation of signal transduction (GO:0009967) | positive regulation of endothelial cell proliferation (GO:0001938)	IGF2;GATA3;EP300;TEK;TGFBR1;IL7R;SMO	2
0	regulation of MAPK cascade (GO:0043408)	9.350846155116222e-06	regulation of MAPK cascade (GO:0043408) | positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	IGF2;FLT3;TEK;PLCG2;NTRK2;ROS1	2
0	Transcriptional misregulation in cancer	2.136888406622965e-05	Transcriptional misregulation in cancer	MYCN;MET;ETV1;FLT3;RUNX1;BCL6	1
0	FoxO signaling pathway	4.209930812868576e-05	FoxO signaling pathway | Hepatitis B	MAP3K1;EP300;JAK3;BCL6;TGFBR1;ARAF;IL7R	2
0	Renal cell carcinoma	5.116999183764999e-05	Renal cell carcinoma | Long-term potentiation | Adherens junction | Prostate cancer	MET;GRIN2A;EP300;FH;TGFBR1;ARAF;PDGFRA	4
0	regulation of apoptotic process (GO:0042981)	5.631079568752608e-05	regulation of apoptotic process (GO:0042981) | regulation of programmed cell death (GO:0043067) | negative regulation of programmed cell death (GO:0043069)	CBL;MET;FLT3;JAK3;BARD1;BCL6;TEK;ALK;SOX9;ARAF;FOXA1	3
0	regulation of TOR signaling (GO:0032006)	5.725937564877874e-05	regulation of TOR signaling (GO:0032006) | Insulin signaling pathway	CBL;RPTOR;TSC1;ARAF;ROS1	2
0	Melanoma	6.049466386091497e-05	Melanoma | Gastric cancer | regulation of endothelial cell chemotaxis (GO:2001026) | Central carbon metabolism in cancer | Glioma | Regulation of actin cytoskeleton	MET;FLT3;MLH1;FGF4;TGFBR1;FGFR4;PLCG2;ARAF;PDGFRA	6
0	positive regulation of multicellular organismal process (GO:0051240)	6.753267815045844e-05	positive regulation of multicellular organismal process (GO:0051240) | nervous system development (GO:0007399) | positive regulation of cold-induced thermogenesis (GO:0120162) | positive regulation of metabolic process (GO:0009893)	MET;EP300;INHBA;FH;TGFBR1;PHOX2B;SOX9;TSHR;SMO	4
0	Chronic myeloid leukemia	7.478190244483873e-05	Chronic myeloid leukemia | Acute myeloid leukemia | regulation of cardiac muscle cell proliferation (GO:0060043) | cellular response to transforming growth factor beta stimulus (GO:0071560) | transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	CBL;FLT3;RUNX1;INHBA;TGFBR1;SOX9;ARAF	5
0	cellular response to cytokine stimulus (GO:0071345)	8.096790537242727e-05	cellular response to cytokine stimulus (GO:0071345) | cytokine-mediated signaling pathway (GO:0019221)	CBL;GATA3;FLT3;JAK3;HLA-A;SH2B3;PTPRT;BCL6;SOX9;IL7R	2
0	peripheral nervous system neuron differentiation (GO:0048934)	8.506401139074483e-05	peripheral nervous system neuron differentiation (GO:0048934) | peripheral nervous system neuron development (GO:0048935)	ETV1;RUNX1	2
0	Cellular senescence	9.651437286186492e-05	Cellular senescence	NBN;HLA-A;TGFBR1;RAD50;TSC1	1
0	lymphocyte differentiation (GO:0030098)	0.0001105100102237	lymphocyte differentiation (GO:0030098) | cellular response to interleukin-4 (GO:0071353) | response to interleukin-4 (GO:0070670) | B cell differentiation (GO:0030183) | positive regulation of T cell activation (GO:0050870)	GATA3;FLT3;JAK3;HLA-A;PLCG2	5
0	Colorectal cancer	0.0001210919274847	Colorectal cancer | Mismatch repair | mismatch repair (GO:0006298)	MSH3;MLH1;TGFBR1;ARAF	3
0	negative regulation of cell population proliferation (GO:0008285)	0.0001213275933256	negative regulation of cell population proliferation (GO:0008285) | development of primary male sexual characteristics (GO:0046546) | male gonad development (GO:0008584) | gonad development (GO:0008406) | negative regulation of cellular macromolecule biosynthetic process (GO:2000113) | negative regulation of cellular process (GO:0048523) | nucleosome organization (GO:0034728)	GATA3;CTCF;INHBA;SH2B3;SPEN;BCL6;TSC1;SOX9;ARID2;KDM5C	7
0	epithelial tube formation (GO:0072175)	0.0001273541495941	epithelial tube formation (GO:0072175) | positive regulation of epithelial cell migration (GO:0010634) | negative regulation of cell differentiation (GO:0045596) | regulation of epithelial cell differentiation (GO:0030856) | aortic valve morphogenesis (GO:0003180) | aortic valve development (GO:0003176) | regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	IGF2;GATA3;TEK;TGFBR1;PLCG2;SOX9;FOXA1	7
0	STAT family protein binding (GO:0097677)	0.0001273541495941	STAT family protein binding (GO:0097677)	PTPRT;EP300	1
0	negative regulation of transcription by RNA polymerase II (GO:0000122)	0.0001652253911776	negative regulation of transcription by RNA polymerase II (GO:0000122) | negative regulation of transcription, DNA-templated (GO:0045892) | negative regulation of nucleic acid-templated transcription (GO:1903507) | DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	IGF2;GATA3;PRDM1;CTCF;RUNX1;EP300;SPEN;BCL6;SOX9;KDM5C	4
0	phosphorylation (GO:0016310)	0.0001691882973883	phosphorylation (GO:0016310)	MAP3K1;BTK;CDK12;JAK3;TGFBR1;ALK;ROS1	1
0	regulation of mesenchymal stem cell differentiation (GO:2000739)	0.0001779577774811	regulation of mesenchymal stem cell differentiation (GO:2000739) | positive regulation of cell migration (GO:0030335)	TGFBR1;PLCG2;SOX9;SMO;PDGFRA	2
0	5'-3' DNA helicase activity (GO:0043139)	0.0001779577774811	5'-3' DNA helicase activity (GO:0043139) | nucleotide-excision repair (GO:0006289)	EP300;ERCC2;BRIP1	2
0	vascular endothelial growth factor-activated receptor activity (GO:0005021)	0.0001779577774811	vascular endothelial growth factor-activated receptor activity (GO:0005021)	FLT3;PDGFRA	1
0	DNA recombination (GO:0006310)	0.0002066329339331	DNA recombination (GO:0006310) | regulation of DNA recombination (GO:0000018) | mitotic recombination (GO:0006312)	MSH3;RAD50;XRCC2;IL7R	3
0	regulation of T cell differentiation (GO:0045580)	0.0002066329339331	regulation of T cell differentiation (GO:0045580) | regulation of stem cell differentiation (GO:2000736) | transcription regulatory region nucleic acid binding (GO:0001067)	GATA3;PRDM1;CTCF;RUNX1;FOXA1;PDGFRA	3
0	positive regulation of catalytic activity (GO:0043085)	0.0002229196269564	positive regulation of catalytic activity (GO:0043085)	MSH3;FGFR4;IGF2	1
0	regulation of lymphocyte apoptotic process (GO:0070228)	0.0002368271564217	regulation of lymphocyte apoptotic process (GO:0070228) | Epstein-Barr virus infection	PLCG2;BTK;JAK3;HLA-A	2
0	entry of bacterium into host cell (GO:0035635)	0.0002368271564217	entry of bacterium into host cell (GO:0035635) | entry into host (GO:0044409)	CBL;MET	2
0	damaged DNA binding (GO:0003684)	0.0002963284777847	damaged DNA binding (GO:0003684) | DNA duplex unwinding (GO:0032508)	NBN;EP300;ERCC2;RAD50	2
0	positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	0.0003039147459874	positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187) | positive regulation of cytokine production (GO:0001819)	GATA3;RUNX1;EP300;HLA-A;PLCG2	2
0	erythrocyte differentiation (GO:0030218)	0.0003382267416356	erythrocyte differentiation (GO:0030218) | myeloid cell differentiation (GO:0030099) | regulation of receptor signaling pathway via JAK-STAT (GO:0046425) | Signaling pathways regulating pluripotency of stem cells	RUNX1;JAK3;INHBA;SH2B3;FGFR4	4
0	genetic imprinting (GO:0071514)	0.000379173204115	genetic imprinting (GO:0071514) | regulation of gene expression, epigenetic (GO:0040029)	CTCF;EP300;IGF2	2
0	Neurotrophin signaling pathway	0.0004212223693113	Neurotrophin signaling pathway | toll-like receptor signaling pathway (GO:0002224) | Fc-epsilon receptor signaling pathway (GO:0038095) | Fc receptor signaling pathway (GO:0038093) | Growth hormone synthesis, secretion and action	MAP3K1;BTK;EP300;SH2B3;PLCG2;NTRK2	5
0	regulation of cell growth (GO:0001558)	0.0004464941631517	regulation of cell growth (GO:0001558) | activin receptor signaling pathway (GO:0032924) | positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	RPTOR;INHBA;BCL6;TGFBR1;ROS1	3
0	negative regulation of receptor signaling pathway via STAT (GO:1904893)	0.0004625553866292	negative regulation of receptor signaling pathway via STAT (GO:1904893)	PTPRT;SH2B3	1
0	Human T-cell leukemia virus 1 infection	0.0004655613890637	Human T-cell leukemia virus 1 infection	MAP3K1;EP300;JAK3;HLA-A;TGFBR1	1
0	cartilage development (GO:0051216)	0.000486268839959	cartilage development (GO:0051216) | chondrocyte differentiation (GO:0002062)	RUNX1;FGF4;SOX9	2
0	regulation of B cell apoptotic process (GO:0002902)	0.000554014347281	regulation of B cell apoptotic process (GO:0002902)	BCL6;BTK	1
0	positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190)	0.000554014347281	positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190) | regulation of branching involved in ureteric bud morphogenesis (GO:0090189) | positive regulation of morphogenesis of an epithelium (GO:1905332)	SMO;SOX9	3
0	negative regulation of cartilage development (GO:0061037)	0.0007609758027855	negative regulation of cartilage development (GO:0061037) | negative regulation of chondrocyte differentiation (GO:0032331) | gland development (GO:0048732) | cellular response to growth factor stimulus (GO:0071363) | regulation of chondrocyte differentiation (GO:0032330) | positive regulation of epithelial cell proliferation (GO:0050679) | circulatory system development (GO:0072359) | epithelial to mesenchymal transition (GO:0001837) | mesenchymal cell differentiation (GO:0048762)	MET;TEK;TGFBR1;PHOX2B;SOX9;NTRK2	9
0	positive regulation of DNA metabolic process (GO:0051054)	0.0008539022982507	positive regulation of DNA metabolic process (GO:0051054)	NBN;FGFR4;RAD50	1
0	regulation of extracellular matrix organization (GO:1903053)	0.000876385388751	regulation of extracellular matrix organization (GO:1903053)	FGFR4;RUNX1	1
0	embryonic cranial skeleton morphogenesis (GO:0048701)	0.000876385388751	embryonic cranial skeleton morphogenesis (GO:0048701) | Endocytosis | embryonic skeletal system morphogenesis (GO:0048704) | skeletal system morphogenesis (GO:0048705)	CBL;HLA-A;TGFBR1;FGFR4;PDGFRA	4
0	negative regulation of platelet activation (GO:0010544)	0.000999685933713	negative regulation of platelet activation (GO:0010544)	PDGFRA;SH2B3	1
0	sympathetic nervous system development (GO:0048485)	0.000999685933713	sympathetic nervous system development (GO:0048485) | autonomic nervous system development (GO:0048483)	PHOX2B;GATA3	2
0	pharyngeal system development (GO:0060037)	0.0011308314717929	pharyngeal system development (GO:0060037) | regulation of epithelial to mesenchymal transition (GO:0010717) | ventricular septum development (GO:0003281)	TGFBR1;FOXA1;GATA3	3
0	regulation of cell migration (GO:0030334)	0.0012568895701071	regulation of cell migration (GO:0030334)	FGF4;PTPRT;TGFBR1;ARID2;SMO;PDGFRA	1
0	regulation of B cell differentiation (GO:0045577)	0.0012697762309429	regulation of B cell differentiation (GO:0045577)	BTK;INHBA	1
0	regulation of stress fiber assembly (GO:0051492)	0.0013622527246398	regulation of stress fiber assembly (GO:0051492)	TGFBR1;MET;TSC1	1
0	membrane raft (GO:0045121)	0.0013655542950454	membrane raft (GO:0045121) | heart trabecula morphogenesis (GO:0061384) | Osteoclast differentiation	CBL;BTK;TEK;TGFBR1;PLCG2	3
0	fibroblast growth factor receptor signaling pathway (GO:0008543)	0.0014160551181192	fibroblast growth factor receptor signaling pathway (GO:0008543) | cellular response to fibroblast growth factor stimulus (GO:0044344)	CBL;FGF4;FGFR4	2
0	positive regulation of focal adhesion assembly (GO:0051894)	0.00141647463282	positive regulation of focal adhesion assembly (GO:0051894) | positive regulation of cell-substrate junction organization (GO:0150117) | positive regulation of cell-matrix adhesion (GO:0001954)	TSC1;TEK	3
0	response to cholesterol (GO:0070723)	0.00141647463282	response to cholesterol (GO:0070723)	TGFBR1;SMO	1
0	dopaminergic neuron differentiation (GO:0071542)	0.0015708812917978	dopaminergic neuron differentiation (GO:0071542)	FOXA1;PHOX2B	1
0	positive regulation of lymphocyte differentiation (GO:0045621)	0.0015708812917978	positive regulation of lymphocyte differentiation (GO:0045621) | antigen receptor-mediated signaling pathway (GO:0050851)	BTK;PLCG2;GATA3;HLA-A	2
0	positive regulation of transcription regulatory region DNA binding (GO:2000679)	0.0017329510145279	positive regulation of transcription regulatory region DNA binding (GO:2000679) | response to estrogen (GO:0043627)	EP300;GATA3	2
0	Axon guidance	0.0020442269990407	Axon guidance	PLCG2;SMO;MET;EPHA5	1
0	positive regulation of endothelial cell migration (GO:0010595)	0.002097481224211	positive regulation of endothelial cell migration (GO:0010595) | negative regulation of endothelial cell apoptotic process (GO:2000352) | negative regulation of inflammatory response (GO:0050728) | epithelial tube morphogenesis (GO:0060562) | negative regulation of epithelial cell apoptotic process (GO:1904036) | regulation of endothelial cell apoptotic process (GO:2000351)	MET;GATA3;TEK;PLCG2;TSHR	6
0	growth factor activity (GO:0008083)	0.0021678683781213	growth factor activity (GO:0008083)	FGF4;IGF2;INHBA	1
0	MicroRNAs in cancer	0.0021879651859758	MicroRNAs in cancer | positive regulation of cell cycle G1/S phase transition (GO:1902808)	RPTOR;MET;EP300;PLCG2;PDGFRA	2
0	positive regulation of neuron projection development (GO:0010976)	0.0022397091090647	positive regulation of neuron projection development (GO:0010976)	NTRK2;ALK;EP300	1
0	cAMP-mediated signaling (GO:0019933)	0.0024569633643719	cAMP-mediated signaling (GO:0019933) | cyclic-nucleotide-mediated signaling (GO:0019935)	EPHA5;SOX9	2
0	in utero embryonic development (GO:0001701)	0.0024569633643719	in utero embryonic development (GO:0001701)	TGFBR1;IGF2	1
0	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	0.0025418140818155	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100) | TGF-beta signaling pathway | regulation of phosphorylation (GO:0042325)	TGFBR1;EP300;INHBA;BARD1	3
0	regulation of regulatory T cell differentiation (GO:0045589)	0.002656677184464	regulation of regulatory T cell differentiation (GO:0045589)	BCL6;RUNX1	1
0	positive regulation of interleukin-2 production (GO:0032743)	0.002656677184464	positive regulation of interleukin-2 production (GO:0032743) | positive regulation of biosynthetic process (GO:0009891) | regulation of interleukin-2 production (GO:0032663)	RUNX1;PLCG2	3
0	TOR signaling (GO:0031929)	0.002656677184464	TOR signaling (GO:0031929)	RPTOR;GATA3	1
0	regulation of MAP kinase activity (GO:0043405)	0.0029533630809532	regulation of MAP kinase activity (GO:0043405)	FLT3;CDK12;SH2B3	1
0	cellular response to interleukin-6 (GO:0071354)	0.003078248660908	cellular response to interleukin-6 (GO:0071354)	PTPRT;CBL	1
0	negative regulation of epithelial to mesenchymal transition (GO:0010719)	0.0033000187698343	negative regulation of epithelial to mesenchymal transition (GO:0010719)	FOXA1;GATA3	1
0	glial cell differentiation (GO:0010001)	0.0033000187698343	glial cell differentiation (GO:0010001)	PHOX2B;SOX9	1
0	MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	0.0033000187698343	MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	MAP3K1;BTK	1
0	cellular response to organonitrogen compound (GO:0071417)	0.0034985343921975	cellular response to organonitrogen compound (GO:0071417) | cAMP signaling pathway	RPTOR;GRIN2A;EP300;SOX9;TSHR	2
0	chromatin remodeling (GO:0006338)	0.0034985343921975	chromatin remodeling (GO:0006338) | response to lipid (GO:0033993) | chromatin organization (GO:0006325)	FGFR4;FOXA1;SOX9;KDM5C	3
0	positive regulation of DNA recombination (GO:0045911)	0.0035290537376922	positive regulation of DNA recombination (GO:0045911)	ARID2;ERCC2	1
0	response to alcohol (GO:0097305)	0.0035290537376922	response to alcohol (GO:0097305)	TGFBR1;GRIN2A	1
0	regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	0.0040087451992263	regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	RUNX1;FOXA1	1
0	HIF-1 signaling pathway	0.0041014940201432	HIF-1 signaling pathway	EP300;PLCG2;TEK	1
0	positive regulation of cytokine production involved in immune response (GO:0002720)	0.0042593156284662	positive regulation of cytokine production involved in immune response (GO:0002720) | Natural killer cell mediated cytotoxicity	ARAF;PLCG2;HLA-A	2
0	B cell receptor signaling pathway (GO:0050853)	0.0045169787852541	B cell receptor signaling pathway (GO:0050853)	BTK;PLCG2	1
0	central nervous system neuron differentiation (GO:0021953)	0.0045169787852541	central nervous system neuron differentiation (GO:0021953) | neuron migration (GO:0001764)	NTRK2;PHOX2B	2
0	negative regulation of cell motility (GO:2000146)	0.0046493902936446	negative regulation of cell motility (GO:2000146)	PTPRT;ARID2;GATA3	1
0	regulation of actin cytoskeleton reorganization (GO:2000249)	0.0053320997910666	regulation of actin cytoskeleton reorganization (GO:2000249)	PDGFRA;TEK	1
0	regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	0.0053320997910666	regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	RUNX1;EP300	1
0	serine/threonine protein kinase complex (GO:1902554)	0.0053320997910666	serine/threonine protein kinase complex (GO:1902554)	TGFBR1;CDK12	1
0	calcium ion transmembrane import into cytosol (GO:0097553)	0.0068285513756758	calcium ion transmembrane import into cytosol (GO:0097553)	GRIN2A;PLCG2	1
0	positive regulation of phospholipase C activity (GO:0010863)	0.0071481549361583	positive regulation of phospholipase C activity (GO:0010863)	NTRK2;PDGFRA	1
0	positive regulation of T cell differentiation (GO:0045582)	0.0071481549361583	positive regulation of T cell differentiation (GO:0045582)	BCL6;GATA3	1
0	regulation of DNA metabolic process (GO:0051052)	0.0081468532165351	regulation of DNA metabolic process (GO:0051052)	NBN;IL7R	1
0	epidermal growth factor receptor signaling pathway (GO:0007173)	0.0084929131450575	epidermal growth factor receptor signaling pathway (GO:0007173)	CBL;SOX9	1
0	regulation of cellular protein metabolic process (GO:0032268)	0.0092045319313775	regulation of cellular protein metabolic process (GO:0032268)	INHBA;TSC1	1
0	cellular response to mechanical stimulus (GO:0071260)	0.0092045319313775	cellular response to mechanical stimulus (GO:0071260)	MAP3K1;SOX9	1
0	Phospholipase D signaling pathway	0.0095389983761946	Phospholipase D signaling pathway	PLCG2;PDGFRA;TSC1	1
0	regulation of epithelial cell migration (GO:0010632)	0.0099418829078362	regulation of epithelial cell migration (GO:0010632)	PLCG2;SOX9	1
