Cluster_ID	Meta_Term	Best_P-value	Aggregated_Terms	All_Genes	N_Terms_Merged
0	regulation of cell migration (GO:0030334)	4.2249019775129736e-08	regulation of cell migration (GO:0030334) | positive regulation of cell migration (GO:0030335) | positive regulation of cell motility (GO:2000147)	ERBB4;ATM;NF1;AGO2;KIT;CDH1;MTOR;KDR;FLT1;SMO;INSR;FLCN;MITF;STAT3	3
0	DNA binding (GO:0003677)	5.116217965203479e-08	DNA binding (GO:0003677) | RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) | cis-regulatory region sequence-specific DNA binding (GO:0000987) | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	NFE2L2;NKX3-1;IKZF1;STAT3;TCF3;DNMT3A;GATA1;POLE;JUN;NSD1;PGR;ERF;PMS1;PRDM1;ERCC4;TOP1;BRCA1;TBX3;MITF;ESR1	4
0	regulation of protein phosphorylation (GO:0001932)	6.453822725663029e-08	regulation of protein phosphorylation (GO:0001932) | positive regulation of protein phosphorylation (GO:0001934) | positive regulation of protein modification process (GO:0031401) | regulation of ERK1 and ERK2 cascade (GO:0070372)	NTRK1;ERBB4;FYN;NSD1;GATA1;TEK;FGFR4;WWTR1;KDR;NKX3-1;RAF1;INSR;FLCN	4
0	Apoptosis	6.646487786484692e-08	Apoptosis | regulation of programmed cell death (GO:0043067) | TNF signaling pathway	NTRK1;JUN;PIK3R2;PARP1;ALK;ATM;PIK3CB;RAF1;BIRC3	3
0	Insulin resistance	1.7702187355375697e-07	Insulin resistance | HIF-1 signaling pathway | Type II diabetes mellitus | positive regulation of cellular catabolic process (GO:0031331) | Longevity regulating pathway | Regulation of lipolysis in adipocytes | AMPK signaling pathway | Diabetic cardiomyopathy | regulation of glycogen biosynthetic process (GO:0005979) | cellular response to insulin stimulus (GO:0032869) | insulin receptor signaling pathway (GO:0008286) | Aldosterone-regulated sodium reabsorption | Adipocytokine signaling pathway	GSK3B;PIK3R2;TEK;PARP1;IRS2;MTOR;AMER1;FLT1;PIK3CB;UPF1;INSR;FLCN;SESN3;STAT3	13
0	negative regulation of transcription by RNA polymerase II (GO:0000122)	2.536268024286675e-07	negative regulation of transcription by RNA polymerase II (GO:0000122) | DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228) | DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	JUN;NSD1;DNMT3A;PRDM1;GATA1;MDM4;TCF3;PGR;PARP1;ERF;FLCN;TBX3;MITF;ESR1;STAT3	3
0	negative regulation of gene expression (GO:0010629)	3.794327681039728e-07	negative regulation of gene expression (GO:0010629) | negative regulation of macromolecule metabolic process (GO:0010605)	PPM1D;DNMT3A;PGR;SHQ1;AGO2;KDR;NKX3-1;SMO;FLCN;ESR1	2
0	cellular response to indole-3-methanol (GO:0071681)	5.243932875582986e-07	cellular response to indole-3-methanol (GO:0071681) | response to indole-3-methanol (GO:0071680) | entry of bacterium into host cell (GO:0035635) | entry into host (GO:0044409) | cellular response to alcohol (GO:0097306) | cellular response to organic cyclic compound (GO:0071407) | Thyroid cancer | cellular response to organonitrogen compound (GO:0071417) | positive regulation of histone H3-K4 methylation (GO:0051571) | regulation of histone H3-K4 methylation (GO:0051569) | positive regulation of histone methylation (GO:0031062) | catenin complex (GO:0016342)	NTRK1;MET;NKX3-1;CDH1;MTOR;CTNNB1;BRCA1;SMO;ESR1	12
0	regulation of intracellular signal transduction (GO:1902531)	7.635764698847636e-07	regulation of intracellular signal transduction (GO:1902531) | regulation of signal transduction by p53 class mediator (GO:1901796)	NTRK1;BRCA1;ATR;MDM4;PRDM1;PIK3R2;TEK;MTOR;ATM;FLCN;BIRC3	2
0	hemopoiesis (GO:0030097)	1.538540159251178e-06	hemopoiesis (GO:0030097) | regulation of phosphatidylinositol 3-kinase activity (GO:0043551) | positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552) | positive regulation of lipid kinase activity (GO:0090218) | hematopoietic progenitor cell differentiation (GO:0002244)	TET2;PIK3R2;KIT;TEK;KDR;FLT1;FLCN	5
0	Human T-cell leukemia virus 1 infection	1.8093661513830253e-06	Human T-cell leukemia virus 1 infection	XPO1;JAK1;JUN;TCF3;ATR;PIK3R2;ATM;PIK3CB	1
0	cellular response to cytokine stimulus (GO:0071345)	1.982992428790055e-06	cellular response to cytokine stimulus (GO:0071345) | cytokine-mediated signaling pathway (GO:0019221)	JAK1;FYN;INPPL1;GSK3B;NFE2L2;KIT;IRS2;NKX3-1;BRCA1;PIK3CB;UPF1;BIRC3;STAT3	2
0	chromosome (GO:0005694)	2.529702240917695e-06	chromosome (GO:0005694) | nuclear chromosome (GO:0000228)	SETD2;PBRM1;JUN;ATR;TOP1;BRCA1;RECQL4	2
0	response to organic cyclic compound (GO:0014070)	3.2166571907766915e-06	response to organic cyclic compound (GO:0014070) | estrogen receptor binding (GO:0030331) | response to lipid (GO:0033993) | response to estradiol (GO:0032355) | negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799) | nuclear receptor binding (GO:0016922)	NSD1;NKX3-1;FGFR4;CTNNB1;ESR1;STAT3	6
0	phosphatase binding (GO:0019902)	4.746080700043384e-06	phosphatase binding (GO:0019902) | protein phosphatase binding (GO:0019903)	MET;JAK1;SHOC2;PIK3R2;CTNNB1;STAT3	2
0	positive regulation of angiogenesis (GO:0045766)	5.248895113607836e-06	positive regulation of angiogenesis (GO:0045766) | regulation of angiogenesis (GO:0045765) | positive regulation of vasculature development (GO:1904018)	BRCA1;JAK1;AGO2;TEK;KDR;CTNNB1;FLT1;NF1	3
0	positive regulation of protein-containing complex assembly (GO:0031334)	5.794166951998824e-06	positive regulation of protein-containing complex assembly (GO:0031334) | negative regulation of telomere maintenance (GO:0032205) | regulation of telomere maintenance via telomere lengthening (GO:1904356) | peptidyl-serine modification (GO:0018209) | regulation of cellular response to heat (GO:1900034) | regulation of cellular response to stress (GO:0080135) | cellular response to light stimulus (GO:0071482) | cellular response to UV (GO:0034644) | response to UV (GO:0009411)	ATR;ERCC4;GSK3B;PARP1;MTOR;TOP1;ATM;ESR1	9
0	Adherens junction	7.423081149761205e-06	Adherens junction | Bacterial invasion of epithelial cells | dendritic spine maintenance (GO:0097062) | cellular component maintenance (GO:0043954) | regulation of calcium ion import (GO:0090279) | dendritic spine organization (GO:0097061)	MET;FYN;PIK3R2;CDH1;CTNNB1;PIK3CB;INSR	6
0	Transcriptional misregulation in cancer	8.415928240092417e-06	Transcriptional misregulation in cancer	NTRK1;MET;TCF3;ATM;FLT1;MITF;BIRC3	1
0	p53 signaling pathway	8.513145222442724e-06	p53 signaling pathway | signal transduction in response to DNA damage (GO:0042770) | replicative senescence (GO:0090399) | negative regulation of TORC1 signaling (GO:1904262) | positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517) | cellular response to gamma radiation (GO:0071480) | positive regulation of signal transduction by p53 class mediator (GO:1901798) | response to gamma radiation (GO:0010332) | regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	PPM1D;ATR;MDM4;ATM;SESN3;TP53BP1	9
0	regulation of Ras protein signal transduction (GO:0046578)	1.899526506465178e-05	regulation of Ras protein signal transduction (GO:0046578) | positive regulation of small GTPase mediated signal transduction (GO:0051057)	NTRK1;SHOC2;IRS2;RAF1;FLCN	2
0	positive regulation of endothelial cell migration (GO:0010595)	1.899526506465178e-05	positive regulation of endothelial cell migration (GO:0010595) | regulation of endothelial cell migration (GO:0010594) | positive regulation of epithelial cell migration (GO:0010634) | positive regulation of endothelial cell chemotaxis (GO:2001028) | positive regulation of focal adhesion assembly (GO:0051894) | positive regulation of cell-substrate junction organization (GO:0150117)	MET;PIK3CG;TEK;MTOR;KDR;PIK3CB;NF1	6
