Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
0	Reactome	Reactome: Diseases of signal transduction by growth factor receptors and second messengers	1	1.5692207752570948e-10	13	24.07	54	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	AMER1;ERBB4;ESR1;FGF19;FGF3;FGFR3;HGF;MTOR;NCOR1;NF1;PDGFRB;RB1;TP53
0	Reactome	Reactome: Disease	1	2.343517092052259e-10	24	44.44	54	Disease	AMER1;ATR;B2M;BRCA1;BRD4;CCND2;DNMT3A;ERBB4;ERCC3;ESR1;FGF19;FGF3;FGFR3;HGF;MAP2K4;MED12;MTOR;NCOR1;NF1;NOTCH2;PDGFRB;RB1;TP53;XPO1
0	Reactome	Reactome: Pi3k akt signaling in cancer	1	5.453958547779573e-10	8	14.81	54	PI3K AKT Signaling in Cancer	ERBB4;ESR1;FGF19;FGF3;FGFR3;HGF;MTOR;PDGFRB
0	Reactome	Reactome: Signaling by receptor tyrosine kinases	1	1.2913437410421267e-09	13	24.07	54	Signaling by Receptor Tyrosine Kinases	ERBB4;ESR1;FGF19;FGF3;FGFR3;FLT1;FLT4;HGF;MTOR;NCOR1;PDGFRB;PGR;RASA1
0	Reactome	Reactome: Constitutive signaling by aberrant pi3k in cancer	1	2.4778277028457797e-09	7	12.96	54	Constitutive Signaling by Aberrant PI3K in Cancer	ERBB4;ESR1;FGF19;FGF3;FGFR3;HGF;PDGFRB
1	GO	GO: Dna metabolic process	10	0.0001510040339141	7	18.92	37	telomere maintenance (GO:0000723) | DNA biosynthetic process (GO:0071897) | DNA strand elongation (GO:0022616) | DNA double-strand break processing (GO:0000729) | DNA replication (GO:0006260) | base-excision repair, gap-filling (GO:0006287) | DNA recombination (GO:0006310) | DNA-dependent DNA replication maintenance of fidelity (GO:0045005) | mitochondrial DNA metabolic process (GO:0032042) | nucleotide-excision repair, DNA gap filling (GO:0006297)	BARD1;MSH2;MSH3;NBN;PARP1;POLE;TERT
1	GO	GO: Regulation of intracellular signal transduction	8	3.767259873973613e-05	14	37.84	37	regulation of protein kinase B signaling (GO:0051896) | regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143) | regulation of signal transduction by p53 class mediator (GO:1901796) | positive regulation of intracellular signal transduction (GO:1902533) | regulation of MAPK cascade (GO:0043408) | regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035358) | regulation of retinoic acid receptor signaling pathway (GO:0048385) | regulation of hippo signaling (GO:0035330)	ASXL1;AXIN1;BARD1;FLT3;GATA3;IGF2;NBN;NF2;PLCG2;PRDM1;PTEN;RPTOR;RUNX1;SH2B3
1	GO	GO: Biological regulation	7	6.811227650160404e-09	17	45.95	37	regulation of cell population proliferation (GO:0042127) | regulation of response to cytokine stimulus (GO:0060759) | negative regulation of response to stimulus (GO:0048585) | regulation of cell cycle (GO:0051726) | regulation of signal transduction (GO:0009966) | regulation of cellular component organization (GO:0051128) | regulation of programmed cell death (GO:0043067)	AXIN1;BAP1;BARD1;CTNNB1;FLT3;GATA3;GLI1;IGF2;KLF4;NBN;NF2;PPM1D;PTEN;RPTOR;RUNX1;SH2B3;TERT
1	GO	GO: Dna repair	6	2.276946855005965e-07	9	24.32	37	mismatch repair (GO:0006298) | double-strand break repair (GO:0006302) | base-excision repair (GO:0006284) | mitochondrial DNA repair (GO:0043504) | recombinational repair (GO:0000725) | nucleotide-excision repair (GO:0006289)	BAP1;BARD1;MLH1;MSH2;MSH3;NBN;PARP1;PMS1;POLE
1	GO	GO: Regulation of cell differentiation	6	0.0003733383137535	7	18.92	37	regulation of epithelial to mesenchymal transition (GO:0010717) | regulation of fat cell differentiation (GO:0045598) | regulation of muscle cell differentiation (GO:0051147) | regulation of cell development (GO:0060284) | regulation of hematopoietic progenitor cell differentiation (GO:1901532) | regulation of stem cell differentiation (GO:2000736)	ASXL1;CTNNB1;FOXO1;GATA3;IGF2;PTEN;RUNX1
