Gene1	Gene2	Shared_Count	P_Value	Log2OR	FDR
CD79B	FGFR4	4	0.0009701062834459603	3.4436390174032403	0.008976235872708129
BRD4	ESR1	5	0.0009701129569754635	2.9195226622647703	0.008976235872708129
IL7R	NOTCH3	10	0.0009708499051171354	1.8858836362464118	0.008979940976794023
EPHA5	IGF1R	11	0.0009742304471425772	1.8085201713260952	0.009008087138600025
IL7R	PIK3C3	6	0.0009775791456037208	2.586188760923236	0.009032790685746292
IL7R	INPP4A	6	0.0009775791456037208	2.586188760923236	0.009032790685746292
RET	SPEN	10	0.000980704439113823	1.8767682340057292	0.009055475954855527
RECQL4	TCF7L2	4	0.0009807129664430381	3.4213772474006854	0.009055475954855527
ERCC3	TRAF7	4	0.0009818974395178588	3.403797748175082	0.009061621399545881
ASXL2	SMARCA4	15	0.0009823319154219218	1.5220677093766823	0.009061621399545881
PRDM14	SOX17	6	0.0009826733161333347	2.5833295689781908	0.009061621399545881
BARD1	TSHR	6	0.0009827368308145319	2.582106889641449	0.009061621399545881
CTCF	ZFHX3	9	0.0009835468678467268	2.038496963535047	0.009065957916576824
FAT1	PPM1D	8	0.0009849550874677867	2.269937266088482	0.009075803352582144
BARD1	BRAF	11	0.000985686010364228	1.7966903454728431	0.00907675962567122
PTEN	TEK	7	0.0009857391566496232	2.3532242253769007	0.00907675962567122
ASXL2	TP63	7	0.0009877110094997732	2.3370936894947736	0.009086296863353079
PDGFRB	SESN2	4	0.0009879496571688572	3.478047296804644	0.009086296863353079
PBRM1	SRSF2	4	0.0009879496571688572	3.478047296804644	0.009086296863353079
FAM58A	STAG2	4	0.00098813691202738	3.4908103282267984	0.009086296863353079
ARID1A	IKZF1	15	0.0009887979497469116	1.4978153264970697	0.009087457396461886
CDKN2A	RFWD2	12	0.0009892668513201447	1.7296258160439573	0.009087457396461886
ERBB4	FAM46C	5	0.0009892847568567277	3.0622255497513162	0.009087457396461886
KMT2D	RAD51C	6	0.0009903265463696053	2.815690069495228	0.009091164793002364
GATA1	RAD51C	3	0.0009903697228127364	4.238070635194249	0.009091164793002364
HIST1H1C	NOTCH4	8	0.0009910702623652829	2.1759889506823846	0.009094466970845108
GLI1	PBRM1	9	0.0009927297299710883	1.9974168389859974	0.009106563370326053
NBN	SUZ12	4	0.0009934684413175758	3.4057907110570325	0.00911020802630911
ALK	MYOD1	9	0.0009949749659625595	2.023286852535916	0.009120888686606286
CDKN2A	CUL3	15	0.000995631782930626	1.506134884298829	0.009123235623047746
KMT2C	PMS2	7	0.0009959147599751953	2.413916959384929	0.009123235623047746
PREX2	SLX4	9	0.0009966535219931277	2.00851561788216	0.009123739016942235
NOTCH3	SLX4	9	0.0009966535219931277	2.00851561788216	0.009123739016942235
ATRX	RPS6KA4	9	0.0009991771754701735	2.0302780271683627	0.009142730264756316
FGF3	PTPRT	10	0.0009994133101852791	1.9483787120338982	0.009142730264756316
ATM	PTPRD	44	0.0009999533438967954	0.8383552975188654	0.009144535634642216
CD79A	RB1	5	0.0010034730247946353	3.078225167305502	0.00917357919378035
AMER1	ARID1B	14	0.0010049068377711295	1.539002799031416	0.009180321850335032
IL7R	MSI2	3	0.0010050183468476588	4.351709086752941	0.009180321850335032
ARID1A	NFE2L2	18	0.0010054664446639367	1.3437531276977162	0.009180321850335032
AURKA	SRSF2	2	0.001005586687971868	5.826548487290915	0.009180321850335032
PIK3C2G	REST	4	0.0010063076677955065	3.5641687404216054	0.009183762009276024
ARID1A	IGF1	7	0.001008981644289635	2.4524610389485293	0.00920187121594973
ARID1A	MALT1	7	0.001008981644289635	2.4524610389485293	0.00920187121594973
ELF3	PHOX2B	4	0.0010102072671739975	3.391058636344404	0.009204381504838904
EPCAM	TP53	15	0.001010286957147899	3.61754402889527	0.009204381504838904
IRF4	KDR	7	0.001010291678009112	2.3658867284189933	0.009204381504838904
RICTOR	ZFHX3	11	0.001010675349310737	1.7880050271666719	0.009204734367357343
HIST1H3H	RAD52	2	0.0010117927739389985	5.80457783738703	0.009211344714254149
BARD1	CRLF2	4	0.001012091538399594	3.411943462385882	0.009211344714254149
HOXB13	INHBA	5	0.001012948492339277	2.921205192543474	0.009212859753944652
BCL6	INHBA	5	0.001012948492339277	2.921205192543474	0.009212859753944652
EZH2	PMS2	3	0.001013995913051076	4.186827061352732	0.009214247467590505
HOXB13	NCOA3	4	0.001014136961300855	3.391712899392212	0.009214247467590505
CTCF	FGFR3	4	0.001014136961300855	3.391712899392212	0.009214247467590505
HLA-B	PREX2	6	0.00101463061190003	2.628219296377911	0.009215594921222703
DICER1	MYCN	6	0.0010163420265195096	2.587013240285918	0.009227998291144306
ARID2	JAK2	11	0.0010168276393711386	1.775308462573964	0.009228241081043836
DICER1	PPARG	5	0.0010184432652307156	2.9386811273357023	0.009228241081043836
MTOR	STAT5A	5	0.0010184432652307156	2.9386811273357023	0.009228241081043836
PIK3C2G	PIK3CB	7	0.0010186428988329778	2.3536172417611856	0.009228241081043836
FGFR1	PAK7	7	0.0010186428988329778	2.3536172417611856	0.009228241081043836
FGFR1	PIK3C2G	7	0.0010186428988329778	2.3536172417611856	0.009228241081043836
PIK3C3	PTPRD	13	0.001018789515636318	1.6620523317537415	0.009228241081043836
NOTCH1	PDGFRA	14	0.0010205990584613257	1.5349826516444742	0.00924149503733983
BRCA2	MAP3K13	7	0.0010245363266644394	2.3480360800504902	0.009273999958290558
EPHA3	SOX17	12	0.0010251165428616156	1.6962156519924694	0.009276105441255414
BTK	CSF1R	7	0.0010256444523438276	2.326455169048426	0.009277736342642385
FAT1	KMT2B	20	0.0010262855984169953	1.269295237800122	0.009280390102933758
LATS1	MLL2	5	0.0010271355290836439	2.9016230611703846	0.009284929401625012
FLT1	TBX3	14	0.0010283931869203213	1.5336611391943826	0.00928936675931795
BCOR	EPHA5	19	0.0010285043522962143	1.2971983069015425	0.00928936675931795
ATRX	GRIN2A	23	0.0010287975931094558	1.1663114686086185	0.00928936675931795
ERCC5	ZFHX3	10	0.0010290188548077144	1.8946696502704037	0.00928936675931795
NOTCH2	NUF2	6	0.0010301397026248546	2.591135788021875	0.009293197418710021
NOTCH2	PHOX2B	6	0.0010301397026248546	2.591135788021875	0.009293197418710021
GRIN2A	STAT5B	7	0.001031970856118008	2.4188424114822737	0.00930657056286213
ARAF	NF1	12	0.0010345210319868017	1.7288719121198697	0.009326416803570204
KMT2B	SOX9	7	0.0010351455769013473	2.340211341251228	0.009328895548670198
PTPN11	STAT5B	3	0.0010392477266622613	4.172327491657617	0.009356594613925018
CCNE1	CDK6	3	0.0010392477266622613	4.172327491657617	0.009356594613925018
MLL	NRAS	3	0.0010399623342076461	4.190091600998483	0.009356594613925018
CDK12	FOXP1	5	0.001040443826145216	2.9016186191075684	0.009356594613925018
HGF	MYD88	5	0.001040915027745053	3.0448104214940472	0.009356594613925018
JAK2	PDGFRB	8	0.0010410358136264313	2.136243266368269	0.009356594613925018
FLT3	NOTCH4	10	0.0010418799890219643	1.8754214288808708	0.009356594613925018
PAK7	RECQL	5	0.0010426213188918505	2.976240980997558	0.009356594613925018
KMT2B	PREX2	13	0.0010428424762564505	1.5983336285697782	0.009356594613925018
DOT1L	PREX2	13	0.0010428424762564505	1.5983336285697782	0.009356594613925018
ANKRD11	FYN	5	0.0010429501147735186	2.9264075937013674	0.009356594613925018
FGFR2	PMS1	4	0.0010430978074433335	3.379076073714286	0.009356594613925018
FGFR2	PAX5	4	0.0010430978074433335	3.379076073714286	0.009356594613925018
KDM5C	TP53	78	0.0010431279361598998	0.9253546180547333	0.009356594613925018
CSF3R	ROS1	7	0.0010475824076733367	2.3329288974861138	0.009393392657514446
DNMT3A	NTRK3	12	0.001050183534048018	1.6862613029259845	0.009413553109194277
IGF1R	NTRK3	10	0.0010512850022597608	1.8886084387079207	0.009415460809831962
SETD8	WT1	3	0.0010520037217693695	4.372612013431201	0.009415460809831962
HGF	RBM10	34	0.0010520429754222007	0.9593215856495919	0.009415460809831962
ABL1	MED12	10	0.0010523339731389697	1.8813998825112093	0.009415460809831962
PAK7	ZFHX3	17	0.0010525874085952124	1.3738513612479817	0.009415460809831962
FGFR4	IRF4	5	0.0010528994676587738	2.8987855459714633	0.009415460809831962
CTCF	LZTR1	3	0.00105357189350415	4.205248130385769	0.009415460809831962
MYCL	NCOA3	3	0.00105357189350415	4.205248130385769	0.009415460809831962
CBL	RAD51C	3	0.00105357189350415	4.205248130385769	0.009415460809831962
EPHA7	POLE	13	0.0010552706570720377	1.5956988854589171	0.009418463477096998
AURKA	PTPRD	5	0.0010552988172857763	3.3345891403430583	0.009418463477096998
APC	NCOR1	12	0.0010553037363354464	1.6755082651703006	0.009418463477096998
PTPRT	TMPRSS2	8	0.0010554454999915492	2.253160245598427	0.009418463477096998
KMT2C	NCOA3	9	0.0010560255845409113	2.0227022000134265	0.009418463477096998
KMT2C	SDHA	9	0.0010560255845409113	2.0227022000134265	0.009418463477096998
JAK2	TBX3	10	0.001056386933110038	1.8667679672783346	0.009418538359519333
CSF1R	RUNX1	5	0.0010573225170393428	2.9003992683876603	0.00942373125156809
EPAS1	NTRK3	7	0.0010584662720994969	2.3914779144391627	0.00943077544940737
BRD4	TSC1	5	0.0010590179853557547	2.888743248898259	0.009432541702008784
ARAF	NBN	5	0.0010607421461324815	2.888142251163724	0.009444746135984408
EPHA3	ERCC3	8	0.0010618444779923579	2.193188340866662	0.009451407570122104
STAT5B	TGFBR2	4	0.0010624411079800616	3.3850676836993725	0.009453564843763904
IL10	NF1	5	0.00106328067221934	3.2538757133083047	0.009454120060249914
NTRK1	TP63	8	0.0010634132802009673	2.130801694463432	0.009454120060249914
BRCA2	SOX2	6	0.0010635663639074477	2.596550474996368	0.009454120060249914
MAP3K1	TSHR	6	0.0010658694896494016	2.557450937152585	0.00947143767275867
ERCC3	MAP3K13	4	0.0010676704816260443	3.3686292862791705	0.009481805993500193
CSF1R	ERBB4	11	0.0010680198500014964	1.7685805498325298	0.009481805993500193
BRCA2	SOX17	9	0.0010681022603133438	1.9865006233364917	0.009481805993500193
IRS2	ZFHX3	12	0.0010697275298444248	1.6837004440660173	0.009493075867608405
DNMT1	SLX4	5	0.0010704055184740204	2.887931377722704	0.009495934594574214
FLT3	TET2	7	0.001074271426445649	2.314314910777487	0.009517790979669481
FANCA	TP63	7	0.001074271426445649	2.314314910777487	0.009517790979669481
PRKCI	PTCH1	4	0.0010742959127136773	3.4016069885736546	0.009517790979669481
HIST3H3	POLD1	4	0.0010742959127136773	3.4016069885736546	0.009517790979669481
GRIN2A	NOTCH3	19	0.0010748666916761279	1.289491323959237	0.009519687244400091
ARID1A	NEGR1	11	0.0010758602713811555	1.795226062907043	0.009525325594494405
BRCA2	SPEN	11	0.0010767893705466722	1.7556993276538506	0.009530389503495173
JAK3	PTPRD	16	0.0010778767009139876	1.4526517910786216	0.009536850054340107
DDR2	NOTCH3	11	0.0010793779649899337	1.7579889617045086	0.009546967515994823
PTPRT	SYK	7	0.0010801765479398395	2.4725799476146384	0.009550865202708621
FOXP1	KMT2D	10	0.0010831769634254674	1.931651478173641	0.009574222348131366
AGO2	MUTYH	3	0.0010867662044497133	4.150447626943008	0.009602766942298212
EPHB1	PDGFRB	11	0.0010878743455958672	1.7558246214175222	0.009606541060085657
BRD4	EPHA3	10	0.001088171899485323	1.888544303127864	0.009606541060085657
IRS2	SMARCA4	16	0.0010885704615573389	1.4468932505239882	0.009606541060085657
FANCA	MCL1	4	0.0010886333208056595	3.3907000514872934	0.009606541060085657
AMER1	PARK2	12	0.0010893294997431308	1.6703901193896904	0.00960950667789932
SMAD2	SMARCD1	3	0.0010913327977316032	4.15241828309111	0.009620817874948078
BCL6	CHEK1	3	0.0010913327977316032	4.15241828309111	0.009620817874948078
EPHA5	NCOR1	15	0.00109218470211896	1.477227571434518	0.009625148208733305
IDH1	KEAP1	12	0.001093427681963149	1.8553505617931456	0.009632920994779344
IRS1	SOX17	7	0.0010943810855781925	2.309067681162805	0.009634958518196656
IRS1	PLCG2	7	0.0010943810855781925	2.309067681162805	0.009634958518196656
AXIN2	ERG	4	0.0010959309164298037	3.361590907146497	0.009642240852268155
ESR1	PLK2	4	0.0010959309164298037	3.361590907146497	0.009642240852268155
CASP8	TEK	4	0.0010968111295587661	3.3588882653353584	0.009644996951996084
EPHA3	FOXA1	7	0.0010969670507516625	2.395060390410395	0.009644996951996084
CSF1R	NF1	15	0.0010981537996461838	1.4954117258272281	0.009652251035427674
GRIN2A	PAK7	18	0.0011001553258032138	1.3260379955629635	0.009666659489317999
CD276	EP300	4	0.001100676262089696	3.479713175975848	0.00966805334228556
ALOX12B	AR	4	0.001103253523647886	3.4456452204750994	0.009687502559573489
ABL1	PTPN11	4	0.0011057902879658846	3.371659866920534	0.009706583498147904
CYSLTR2	PARK2	5	0.001108926759592335	2.9015962959390054	0.009730914363604558
CREBBP	FGFR1	7	0.0011106830828353973	2.330593312477927	0.00974264002764494
DNMT3A	ERCC3	5	0.0011109932023280328	2.8850862252901703	0.00974264002764494
ALK	MED12	19	0.0011140761296924602	1.2819797007161746	0.009766465677018167
EPHB1	JAK2	10	0.0011149677507681377	1.8555422504948234	0.00977107206215033
CYSLTR2	YES1	3	0.0011175827559423241	4.13395950415444	0.009779995628422543
FLT4	NF1	20	0.0011183283770244937	1.259818244760531	0.009779995628422543
BLM	CDKN2C	3	0.0011183815677878529	4.1512168714678515	0.009779995628422543
KMT2A	PRDM14	7	0.0011188752863818552	2.309392010701044	0.009779995628422543
FOXL2	KMT2A	7	0.0011188752863818552	2.309392010701044	0.009779995628422543
AR	FOXL2	7	0.0011188752863818552	2.309392010701044	0.009779995628422543
EPHA5	PTPN11	7	0.001119136465985544	2.405508355631747	0.009779995628422543
EPCAM	SOX9	3	0.0011192844912573522	4.173138132037498	0.009779995628422543
HIST1H3C	TEK	3	0.0011192844912573522	4.173138132037498	0.009779995628422543
INPP4B	STAT5B	5	0.001120101669914105	2.9105756424163745	0.00978073071389329
MLH1	RASA1	5	0.001120101669914105	2.9105756424163745	0.00978073071389329
GRIN2A	NTRK1	14	0.0011241262457618877	1.5308897269317814	0.009812662371002935
KDM5C	MED12	14	0.001125703985777963	1.5222812679650215	0.009823221340904168
ERF	XPO1	3	0.0011271015766428753	4.142157123934781	0.00983220188712492
EPHA7	KMT2A	11	0.0011284157358170898	1.746663712211928	0.009840448990287269
PIK3CD	RECQL4	4	0.0011297466363046694	3.3595728692724944	0.009846300333866288
EPHB1	NF1	23	0.001129824681367756	1.162743663165583	0.009846300333866288
AMER1	KMT2D	25	0.0011306780987523626	1.1094079642978472	0.009850520752597713
PIK3CG	WT1	12	0.0011311712514292423	1.6666390932155877	0.009851600797777197
DICER1	PAK7	11	0.0011316482814760897	1.7466280751450811	0.00985253427922051
ANKRD11	EP300	10	0.001133097704266459	1.8471109099086545	0.00985253427922051
EP300	NCOR1	10	0.001133097704266459	1.8471109099086545	0.00985253427922051
ALK	MAP3K1	10	0.0011331245157552086	1.863722736452145	0.00985253427922051
ALK	TSHR	10	0.0011331245157552086	1.863722736452145	0.00985253427922051
HGF	PIK3CB	8	0.001134560066362861	2.152841625895793	0.009858712490199038
ARID2	INSR	8	0.0011345739575567265	2.145468444685905	0.009858712490199038
ARID2	CDK6	6	0.001135049872760538	2.6130992003441533	0.009859637322465807
ALK	INPP4A	9	0.0011406679451429755	1.9911579331052494	0.009903758670149192
NOTCH4	SOX9	8	0.0011408714315922284	2.139947654852733	0.009903758670149192
FYN	PRDM14	4	0.0011471233689477147	3.34799669873693	0.009954792552965778
FLT1	KIT	10	0.001147813379421321	1.848549961866739	0.00995754227238555
PBRM1	TET1	10	0.0011486278553759456	1.8447388428873666	0.00995897765838341
BRD4	TBX3	8	0.0011487252476111722	2.1284837344933667	0.00995897765838341
NEGR1	TSC1	5	0.0011501786244869387	2.859768218223389	0.009966394493055307
MTOR	NSD1	9	0.0011504907984823884	1.9641394970021944	0.009966394493055307
NF1	RECQL4	13	0.0011507011966686677	1.6239630603707793	0.009966394493055307
ARID1A	TET2	14	0.0011521467871569637	1.534530013031001	0.009970839999221062
EPHA7	MLL3	6	0.0011522352014315532	2.572642229085288	0.009970839999221062
RET	WT1	9	0.001152335415311889	1.9644448420666076	0.009970839999221062
STAT5A	TOP1	3	0.001153469311840088	4.115343825987093	0.009974182950892013
MAP2K2	STAT5A	3	0.001153469311840088	4.115343825987093	0.009974182950892013
HIST1H3C	RAD52	2	0.0011542267141687486	5.697265470345949	0.00997426809183713
RAD51C	RAD52	2	0.0011542267141687486	5.697265470345949	0.00997426809183713
BRCA2	HIST1H2BD	4	0.001155505337940166	3.4813317490846822	0.009981064499326224
NPM1	PALB2	3	0.001156285418541836	4.1804115086308045	0.009981064499326224
DAXX	ZFHX3	7	0.0011571177155045953	2.3677337211065765	0.009981064499326224
SUZ12	ZFHX3	7	0.0011571177155045953	2.3677337211065765	0.009981064499326224
MGA	NF2	9	0.0011573112784752134	1.9975647549198514	0.009981064499326224
CDC42	TRAF2	2	0.0011575672514789546	5.8679761510893025	0.009981064499326224
PIK3CD	PPM1D	3	0.0011580054596182872	4.113033665299891	0.009981064499326224
CCNE1	MLH1	3	0.0011580054596182872	4.113033665299891	0.009981064499326224
IKZF1	PTPRD	18	0.0011585537929694669	1.342987535075548	0.00998256634336139
HGF	MTOR	13	0.0011604076519769126	1.5843733650534488	0.009995312521950909
CARD11	DIS3	9	0.0011614270313935787	1.9646400728100637	0.009997295010234525
GRIN2A	NBN	10	0.0011614795153775444	1.8770218081266057	0.009997295010234525
HIST1H1C	RECQL4	5	0.001161761732311683	2.857595299351745	0.009997295010234525
CDK12	RAD50	5	0.0011634128021681585	2.8616839191793657	0.010008275508013318
AMER1	NCOA3	8	0.0011640883711036226	2.1370857750743975	0.010010859872027125
CARM1	SOX17	3	0.001167199737894827	4.239346402399792	0.010034383055967608
BMPR1A	FGFR1	3	0.0011683804194449218	4.133900287419281	0.010040560996615187
KMT2A	MGA	14	0.0011686708808501694	1.518762899428097	0.010040560996615187
ATRX	INHBA	12	0.0011699123862540474	1.664140343675932	0.010047992284257887
GATA2	KMT2B	7	0.001170855242967848	2.3058510438059954	0.010052854619883212
CIC	HGF	11	0.0011714652966208002	1.7505599943149497	0.01005485733043617
PTPN11	SLX4	4	0.0011723657152893014	3.3474090652965627	0.010059350196943732
EPAS1	PDGFRA	6	0.0011743584616660814	2.5795939427781693	0.010073209755563927
CDKN2A	SOX17	14	0.0011754620594850794	1.5412800619037592	0.01007943607241624
FLT3	RET	8	0.0011769054117931146	2.108731458003991	0.01008857080427217
TRAF2	TSC1	4	0.0011778872684730503	3.3314401819405375	0.010093744945152007
FGF3	FGFR4	5	0.001180696351730838	2.857737111255655	0.010110944580043992
ARID1B	GSK3B	5	0.0011814099756633752	2.9093546355599997	0.010110944580043992
KMT2B	YES1	5	0.0011814099756633752	2.9093546355599997	0.010110944580043992
ARID1B	IGF1	5	0.0011814099756633752	2.9093546355599997	0.010110944580043992
NOTCH2	NRAS	6	0.0011821211191626222	2.547656334442976	0.010113787132046994
KMT2B	TP53	84	0.001182577741779485	0.8726762622670438	0.010114450974162038
LATS2	PIK3CG	10	0.001183132965763264	1.8547393135574117	0.010115484891802924
AR	GRIN2A	15	0.0011834567671803909	1.4611917258433904	0.010115484891802924
ERBB3	HOXB13	4	0.001184120636752817	3.3267761365513375	0.010117918409141505
DNMT3A	PREX2	10	0.0011857344284288557	1.8432251717188504	0.010125391130098062
IRS1	PRKD1	7	0.0011857540671372099	2.2872829475804815	0.010125391130098062
FH	HIST1H3C	3	0.0011875465935341962	4.1417099862290865	0.010134211975842668
GATA2	RAD51C	3	0.0011875465935341962	4.1417099862290865	0.010134211975842668
MAP2K1	PTPRT	9	0.0011896611271837109	2.047129905973657	0.01014901124645055
ALOX12B	PAX5	3	0.001191790385056818	4.130754404161634	0.01016269585728285
CD276	SUFU	2	0.0011929231738691266	5.666677150512526	0.01016269585728285
CSF1R	NUF2	5	0.001193073424662621	2.856923867129899	0.01016269585728285
INPP4A	TERT	6	0.0011931694255524516	2.526068811667588	0.01016269585728285
INPP4A	JAK2	6	0.0011931694255524516	2.526068811667588	0.01016269585728285
CIC	IRS2	7	0.0011953721058383443	2.2849911360724917	0.010178208246425085
ASXL1	IL7R	7	0.0011965786384711405	2.2847049154504067	0.010182727358005138
ATRX	MED12	20	0.0011966660294061876	1.237011118651538	0.010182727358005138
PTPRD	YES1	8	0.0011986041674879795	2.255116334709698	0.010195968189166953
NTRK3	RPS6KA4	9	0.0011998743950978805	1.9894892800365505	0.010203520788141154
PDCD1LG2	TP63	3	0.001205040097248816	4.2565793836964945	0.010234403244775512
EIF4E	TP63	3	0.001205040097248816	4.2565793836964945	0.010234403244775512
EIF4E	INHBA	3	0.001205040097248816	4.2565793836964945	0.010234403244775512
HIST1H3F	TP63	3	0.001205040097248816	4.2565793836964945	0.010234403244775512
CTR9	NPM1	2	0.0012059581578092284	5.656623485848603	0.010238941597562603
CARD11	PGR	10	0.0012089498652475407	1.833517409278299	0.010259559978297405
ERBB2	NOTCH1	13	0.001209925907972511	1.5715809608789035	0.010259559978297405
EPHA7	NOTCH1	13	0.001209925907972511	1.5715809608789035	0.010259559978297405
FANCA	PTPRT	14	0.001210536413501758	1.5391374139150094	0.010259559978297405
CDH1	ERBB4	7	0.0012108651617084955	2.335364234293057	0.010259559978297405
CDK12	CREBBP	9	0.0012108663980563662	1.9602235892744648	0.010259559978297405
ARID1B	ERCC3	6	0.0012110779063757475	2.5479839241046944	0.010259559978297405
CIC	FOXL2	6	0.0012123370587859019	2.519819377855106	0.010266967443256678
SHQ1	WT1	5	0.0012140744469097773	2.86116332195139	0.01027314207005463
IRF4	MITF	3	0.0012142408190781028	4.1022281780321475	0.01027314207005463
ACVR1	IRF4	3	0.0012142408190781028	4.1022281780321475	0.01027314207005463
FGFR1	IRF4	4	0.0012146060794836933	3.3130845757222334	0.01027314207005463
NBN	NOTCH3	8	0.0012155351686087557	2.1161366082440556	0.010277742704158632
NF1	POLE	22	0.0012162265345097038	1.182464432242358	0.010280331033700173
ARID2	ERCC3	7	0.0012170168572180568	2.3261037708585555	0.010280627111990468
HIST1H3B	NCOR1	5	0.0012174173383507543	2.8694158901898557	0.010280627111990468
CYSLTR2	NCOR1	5	0.0012174173383507543	2.8694158901898557	0.010280627111990468
CYSLTR2	PALB2	4	0.001219041959104349	3.320515962314823	0.010291089743340573
MED12	PIK3CB	8	0.001219493928257857	2.1353243522984195	0.010291649423011041
NBN	PNRC1	3	0.0012207669832180804	4.138146292769651	0.010299135930184786
BRCA2	KEAP1	33	0.0012214656704366451	0.9832207611318362	0.010301706132497382
PIK3R1	PTPRT	10	0.0012219306972122755	1.902142754240494	0.010301706132497382
EPHA7	SPEN	11	0.0012222297776086457	1.7308133671846109	0.010301706132497382
PBRM1	TP63	8	0.0012233898408097377	2.096422138432317	0.010301722278954827
DROSHA	PDGFRB	8	0.0012233898408097377	2.096422138432317	0.010301722278954827
PDGFRB	TP63	8	0.0012233898408097377	2.096422138432317	0.010301722278954827
CBFB	EZH2	2	0.0012246101672619084	5.716036573192111	0.010308745209269408
AURKB	EPHA5	5	0.001225656523032206	3.063969138583403	0.010311541095461618
BRAF	EPHA7	17	0.001225715134150431	1.352121355148132	0.010311541095461618
CHEK1	FLT1	5	0.001227773979141174	2.9201416191063747	0.010323948894868866
AR	NTRK3	14	0.0012280061035850785	1.5104727457401372	0.010323948894868866
TET1	WHSC1L1	7	0.00122863944579423	2.292947015857374	0.010323948894868866
NF1	PIK3C3	12	0.0012287547944917977	1.694489706028691	0.010323948894868866
EP300	TCF3	6	0.001229124438411032	2.540805253558781	0.010323948894868866
ERBB4	FUBP1	8	0.001230072647416323	2.130606163803264	0.010325857865803721
INHBA	NBN	6	0.0012301256194637447	2.5174393197313503	0.010325857865803721
GLI1	PDCD1	6	0.001232783941593409	2.5259212289309354	0.010344918075918277
KMT2C	NOTCH4	19	0.0012340765998967234	1.268540925962905	0.010349955610321976
NOTCH1	TRAF2	6	0.0012341599682235162	2.555931806594099	0.010349955610321976
HGF	INPPL1	9	0.00123522601738813	1.973344367998947	0.010351723510402523
E2F3	KMT2C	6	0.001235534546772795	2.622801669492502	0.010351723510402523
HIST3H3	KMT2C	6	0.001235534546772795	2.622801669492502	0.010351723510402523
FAT1	JAK2	15	0.0012390697575634581	1.4712184441885072	0.010378084268857777
GLI1	PGR	9	0.001242277031930415	1.9467010555636006	0.010401682647337034
ALK	TAP2	6	0.001243047675335671	2.5933259736557828	0.010402686759036385
EPHA5	KMT2D	32	0.001243617900051088	0.962221537334002	0.010402686759036385
GATA3	PREX2	9	0.0012447722880681933	1.9570541683899578	0.010402686759036385
GATA3	NOTCH3	9	0.0012447722880681933	1.9570541683899578	0.010402686759036385
CD79B	IL7R	4	0.0012450514939252582	3.3406858412905276	0.010402686759036385
E2F3	IL7R	4	0.0012450514939252582	3.3406858412905276	0.010402686759036385
AURKA	HIST1H3D	2	0.0012451257825880537	5.6558288314408	0.010402686759036385
ERCC4	SPEN	6	0.0012462143595640825	2.525871870156001	0.01040474167407222
PARK2	TET1	10	0.0012462375136946733	1.8274467912309302	0.01040474167407222
FLT1	KRAS	65	0.001246541470189578	0.7824467387170486	0.01040474167407222
FUBP1	RAD51D	3	0.0012479818698283923	4.098733953585359	0.010413507253399202
ARID2	INHBA	11	0.001249849646351303	1.7338225499794973	0.01042583238914802
CDH1	PIK3CG	7	0.0012515137657273146	2.3265340037334177	0.010436451512010433
MAP3K1	NTRK1	7	0.0012543928538271635	2.274057398753203	0.010457192534950909
CXCR4	SMARCA4	9	0.0012554257827090982	2.055318713744503	0.010462534981758989
KLF4	TAP2	3	0.0012561237584353087	4.069428918420078	0.010465083513533004
ATR	INPP4B	11	0.0012603997021188803	1.724485192107743	0.010497430103321574
ANKRD11	TP53	69	0.0012628567318521229	0.9757658650992758	0.010514612134001216
CARD11	EPHA5	17	0.0012633823605872844	1.3510400421696922	0.010515707514744755
GLI1	NOTCH4	12	0.0012640351894308481	1.6414952457616436	0.010517860626742185
CD79B	TP53	20	0.0012649237499381043	2.4494633328479414	0.010521575224813002
INHBA	PLCG2	7	0.001265270185363497	2.269771250600979	0.010521575224813002
ALOX12B	CTCF	3	0.0012675876223598936	4.097931787848324	0.010532716411036121
MYD88	SDHA	3	0.0012675876223598936	4.097931787848324	0.010532716411036121
AXL	NF1	10	0.0012681887887824267	1.898679938198438	0.010532716411036121
NF1	PAK1	10	0.0012681887887824267	1.898679938198438	0.010532716411036121
MSI1	PTCH1	4	0.001269289743860919	3.327201553741255	0.010537300295449355
FAT1	PPARG	8	0.0012695304646756483	2.199117475702203	0.010537300295449355
ARHGAP35	EP300	5	0.0012731564834630297	2.8772604254158214	0.01056411093321236
FUBP1	NOTCH1	7	0.0012745062919976389	2.2917048947276695	0.010572023749442647
INHA	PMS2	3	0.0012753404080753118	4.0604957936500705	0.010575655310593441
FUBP1	PIK3CG	8	0.001275796756993239	2.1217255015253556	0.010576152985512451
ALK	GATA3	10	0.0012767720444678333	1.8377662349536983	0.01057841821563609
EZH2	FANCA	4	0.0012768628470138223	3.319906097302151	0.01057841821563609
PGR	TERT	8	0.0012773042422352494	2.0860929935670125	0.010578790721305907
EPHA7	PAX5	7	0.0012788056748432224	2.2869993966338398	0.010584655531386907
EPHA7	PMS1	7	0.0012788056748432224	2.2869993966338398	0.010584655531386907
HOXB13	KMT2D	9	0.0012810248757584174	2.0304594278307526	0.010596450343959507
BCL6	KMT2D	9	0.0012810248757584174	2.0304594278307526	0.010596450343959507
CREBBP	PTPRS	10	0.001283960131120212	1.8238700088406208	0.010617439138191154
ELF3	SMARCA2	3	0.0012862561467528308	4.076414792758522	0.010633130506846123
