Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
KDM5A	5	1	4	0	0.32	0.0	0.0943	0
PIK3C3	2	2	0	0	0.0	0.022	0.101	0
CREBBP	3	2	1	0	0.4444	0.0231	0.0667	0
KEAP1	4	3	1	0	0.375	0.0274	0.076	0
SLX4	3	2	1	0	0.4444	0.0187	0.0593	0
CSF1R	1	1	0	0	0.0	0.0	0.0067	0
NOTCH4	2	2	0	0	0.0	0.0001	0.01	0
CTCF	2	2	0	0	0.0	0.0003	0.0188	0
IL7R	7	3	4	0	0.4898	0.0005	0.0272	0
SMYD3	1	1	0	0	0.0	0.0	0.0129	0
CUL3	1	1	0	0	0.0	0.0	0.0888	0
NF1	5	5	0	0	0.0	0.0719	0.1084	0
DIS3	5	5	0	0	0.0	0.049	0.0962	0
FGFR3	1	1	0	0	0.0	0.0	0.0804	0
MAP2K4	2	2	0	0	0.0	0.0219	0.1036	0
MTOR	4	4	0	0	0.0	0.0285	0.0827	0
DNAJB1	1	1	0	0	0.0	0.0	0.005	0
PIK3CA	1	1	0	0	0.0	0.0	0.005	0
ESR1	1	1	0	0	0.0	0.0	0.008	0
DNMT3A	1	1	0	0	0.0	0.0	0.0067	0
DROSHA	7	3	4	0	0.4898	0.0	0.0223	0
RICTOR	4	1	3	0	0.375	0.0	0.0188	0
SDHA	4	0	4	0	0.0	0.0	0.0223	0
TET1	3	3	0	0	0.0	0.017	0.0919	0
PARP1	4	3	1	0	0.375	0.0048	0.0769	0
RAD52	6	0	6	0	0.0	0.0	0.0947	0
PAK1	2	2	0	0	0.0	0.0	0.0767	0
RECQL	6	0	6	0	0.0	0.0	0.0947	0
CCND3	1	0	1	0	0.0	0.0	0.005	0
PIM1	1	0	1	0	0.0	0.0	0.005	0
CDK4	3	1	2	0	0.4444	0.0001	0.01	0
GLI1	2	1	1	0	0.5	0.0	0.0067	0
MDM2	1	0	1	0	0.0	0.0	0.0067	0
CDKN2Ap14ARF	10	0	8	2	0.32	0.019	0.1001	0
CDKN2Ap16INK4A	11	0	9	2	0.2975	0.0506	0.1016	0
PIK3C2G	5	3	2	0	0.48	0.1197	0.1182	0
CDKN2A	6	1	5	0	0.2778	0.0001	0.0865	0
MTAP	4	0	4	0	0.0	0.0	0.0849	0
SMARCA4	12	4	6	2	0.6111	0.0402	0.0878	0
RTEL1	3	0	3	0	0.0	0.0048	0.0846	0
TEK	1	0	1	0	0.0	0.0	0.0831	0
CEBPA	2	1	1	0	0.5	0.0	0.0659	0
KMT2B	4	3	1	0	0.375	0.0096	0.0761	0
CHEK2	1	1	0	0	0.0	0.0	0.0067	0
PTCH1	2	2	0	0	0.0	0.0001	0.01	0
CIC	8	7	1	0	0.2188	0.0366	0.0906	0
ERF	2	1	1	0	0.5	0.0	0.0765	0
FAT1	5	5	0	0	0.0	0.029	0.0894	0
TRIP13	2	1	1	0	0.5	0.0	0.0144	0
